layer_type,layer_index,subset,probe_type,balanced_accuracy,balanced_std,control_balanced_accuracy,control_balanced_std,selectivity,raw_accuracy,majority_baseline,n_folds,n_controls,n_samples,n_L,n_NL,n_L_lemmas,n_NL_lemmas
encoder,0,stemfinal_same,linear,0.8121271221582271,0.19531378123067045,0.5450637072205948,0.061499364972798086,0.2670634149376323,0.950835350938353,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,0,stemfinal_same,mlp,0.7663657767969168,0.18782227945399066,0.5210801565669655,0.049808502131001894,0.24528562022995126,0.9219268108007279,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,0,stemfinal_differ,linear,0.7709090909090909,0.23014041063942667,0.4930187124703254,0.18051697584284832,0.27789037843876546,0.8103755685510071,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,0,stemfinal_differ,mlp,0.7416450216450217,0.2013344826924302,0.38932570869990224,0.13509768547754233,0.3523193129451194,0.7869464232973005,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,0,all,linear,0.8034951790633608,0.20062878285879543,0.4539065656565657,0.04411530648495385,0.3495886134067951,0.9096420246420246,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,0,all,mlp,0.6634699265381083,0.19713552291938902,0.4747789256198347,0.0634183560142234,0.18869100091827362,0.8708491508491509,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,1,stemfinal_same,linear,0.819933025968742,0.19574276790110928,0.5248391847149934,0.06567607936433546,0.2950938412537486,0.9548391679140321,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,1,stemfinal_same,mlp,0.7593808137941332,0.20297355505801012,0.4738931939532486,0.055606189925696416,0.28548761984088467,0.929897132702086,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,1,stemfinal_differ,linear,0.7718528138528138,0.18460490739241317,0.6472669738863287,0.2323476826262939,0.12458583996648509,0.7841646090534978,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,1,stemfinal_differ,mlp,0.7802251082251083,0.1656744816875052,0.5118809384164222,0.1255688339706703,0.26834416980868603,0.7696423100399709,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,1,all,linear,0.8165909090909091,0.204188421409267,0.5040601469237833,0.09734618407915226,0.31253076216712583,0.9243323343323343,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,1,all,mlp,0.6868962350780532,0.19628517099068624,0.48270202020202024,0.030012994362653346,0.20419421487603295,0.8637362637362637,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,2,stemfinal_same,linear,0.8076735024538844,0.18316409469674177,0.4929516405208224,0.06075311285104144,0.31472186193306195,0.9363690979781474,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,2,stemfinal_same,mlp,0.7388598302231312,0.20468396071866465,0.43351289080825123,0.030568841867905327,0.30534693941487995,0.9195035624105461,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,2,stemfinal_differ,linear,0.8293766233766234,0.1888379283879198,0.5235181399245916,0.2098683809199303,0.3058584834520318,0.8360638746135821,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,2,stemfinal_differ,mlp,0.7722207792207791,0.16385264320874987,0.4795222539965878,0.21668799255690302,0.2926985252241913,0.7624362139917695,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,2,all,linear,0.8011363636363636,0.18996692785913213,0.509527318640955,0.0498017130519027,0.29160904499540863,0.9117216117216117,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,2,all,mlp,0.775238751147842,0.18405970853923778,0.4620879247015611,0.025980384173104703,0.3131508264462809,0.8805544455544456,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,3,stemfinal_same,linear,0.8188136799698119,0.18587170011784188,0.5222433160257771,0.07904459635682336,0.2965703639440348,0.9489593895353433,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,3,stemfinal_same,mlp,0.7641780153934293,0.17393855685466791,0.48800884433470076,0.05628204885890648,0.27616917105872857,0.91657038751243,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,3,stemfinal_differ,linear,0.8117186147186146,0.19732851556678221,0.5973733556765815,0.11962048436471502,0.21434525904203316,0.8319580995136551,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,3,stemfinal_differ,mlp,0.8283116883116882,0.16713302044962677,0.32320318391286135,0.11188994078350585,0.5051085043988268,0.8215039281705948,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,3,all,linear,0.804861111111111,0.1948176637590635,0.4479065656565656,0.02277505202080177,0.3569545454545454,0.9063086913086913,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,3,all,mlp,0.7456818181818182,0.16066298086861713,0.46601790633608814,0.019695477584911764,0.2796639118457301,0.8969447219447219,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,0,stemfinal_same,linear,0.7936717871978125,0.19119249300958643,0.5148211937410655,0.09323366487872654,0.278850593456747,0.9706954707424789,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,0,stemfinal_same,mlp,0.7867435725765403,0.16164004398284887,0.5064498512081876,0.07086969740704745,0.2802937213683526,0.9464057793621576,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,0,stemfinal_differ,linear,0.7559523809523809,0.16025091946602937,0.5549217148442955,0.16269493506942842,0.2010306661080854,0.8136022210408175,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,0,stemfinal_differ,mlp,0.7862900432900433,0.15664250156639226,0.49065021645021656,0.12182940920709025,0.2956398268398267,0.8632807608246205,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,0,all,linear,0.811439393939394,0.17748441183594277,0.5024074839302113,0.05589405663235642,0.30903191000918273,0.9320479520479521,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,0,all,mlp,0.7816081267217632,0.17322760328742254,0.4918627180899908,0.06386056844758398,0.28974540863177234,0.8956660006660007,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,1,stemfinal_same,linear,0.7566840616925941,0.22809064360148404,0.4999972810127698,0.03905094238195874,0.25668678067982426,0.9590067049944689,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,1,stemfinal_same,mlp,0.7425188650459734,0.22110033415076813,0.49558084010498415,0.02771569238433793,0.24693802494098926,0.9400293412310423,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,1,stemfinal_differ,linear,0.8650389610389609,0.16127678896038167,0.5669819165406823,0.16494212963025245,0.29805704449827863,0.8531778604761062,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,1,stemfinal_differ,mlp,0.7984805194805195,0.1768514106004882,0.48521333612623935,0.024895607145943573,0.3132671833542801,0.8253888593537717,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,1,all,linear,0.7469777318640956,0.140970357432683,0.45232483930211204,0.029686195690306942,0.2946528925619835,0.9016716616716616,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,1,all,mlp,0.6957506887052343,0.17056442845872669,0.4863108356290174,0.0688314178921935,0.20943985307621688,0.8845920745920747,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,2,stemfinal_same,linear,0.7827005855691133,0.24821792402129542,0.5031237419987378,0.031393888428973,0.2795768435703755,0.9677228649669004,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,2,stemfinal_same,mlp,0.7398647638074592,0.21336496756552503,0.4946894316460142,0.02406753143954944,0.24517533216144505,0.9440968975736824,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,2,stemfinal_differ,linear,0.8007835497835497,0.17394800131263485,0.44783569333891904,0.19560274643240202,0.35294785644463067,0.8416654655718983,0.693069306930693,5,5,4545,3150,1395,6,6
