layer_type,layer_index,subset,probe_type,balanced_accuracy,balanced_std,control_balanced_accuracy,selectivity,raw_accuracy,majority_baseline,n_folds,n_samples,n_L,n_NL,n_L_lemmas,n_NL_lemmas
encoder,0,stemfinal_same,linear,0.5035921799321097,0.12247451301387832,0.5,0.003592179932109696,0.8256150112373115,0.9755054432348367,5,38580,945,37635,7,59
encoder,0,stemfinal_same,mlp,0.4820205753060704,0.07790292116902588,0.4997858672376873,-0.01776529193161691,0.8592342340556083,0.9755054432348367,5,38580,945,37635,7,59
encoder,0,stemfinal_differ,linear,0.4200757575757576,0.21972439745196487,0.5017959303386523,-0.08172017276289473,0.4231793401835639,0.7379518072289156,5,4980,3675,1305,7,6
encoder,0,stemfinal_differ,mlp,0.4945892857142857,0.14041372620277123,0.50797653805738,-0.013387252343094291,0.4453754421946262,0.7379518072289156,5,4980,3675,1305,7,6
encoder,0,all,linear,0.63864898989899,0.21098718104363187,0.5,0.13864898989899,0.8140642690642691,0.8939393939393939,5,43560,4620,38940,7,59
encoder,0,all,mlp,0.5066666666666666,0.09200209762972004,0.4999660263570983,0.006700640309568295,0.818041958041958,0.8939393939393939,5,43560,4620,38940,7,59
encoder,1,stemfinal_same,linear,0.45920715152516245,0.04600751085772819,0.5,-0.04079284847483755,0.8057285882196347,0.9755054432348367,5,38580,945,37635,7,59
encoder,1,stemfinal_same,mlp,0.5593997791358835,0.19806538387088066,0.4984675416294319,0.06093223750645155,0.8995099704650371,0.9755054432348367,5,38580,945,37635,7,59
encoder,1,stemfinal_differ,linear,0.4368181818181818,0.18395936190353546,0.48946293884885483,-0.052644757030673006,0.4270226852572182,0.7379518072289156,5,4980,3675,1305,7,6
encoder,1,stemfinal_differ,mlp,0.5170140692640692,0.060093570686641305,0.49730467771258224,0.019709391551486988,0.4615832918353117,0.7379518072289156,5,4980,3675,1305,7,6
encoder,1,all,linear,0.6318813131313131,0.21495885244996887,0.5,0.13188131313131313,0.802026307026307,0.8939393939393939,5,43560,4620,38940,7,59
encoder,1,all,mlp,0.5505429292929293,0.17836911488192358,0.4999179141689245,0.050625015124004746,0.8211505161505162,0.8939393939393939,5,43560,4620,38940,7,59
encoder,2,stemfinal_same,linear,0.5366604384649104,0.13987341744512144,0.5,0.036660438464910405,0.8723803641272923,0.9755054432348367,5,38580,945,37635,7,59
encoder,2,stemfinal_same,mlp,0.5497492886674357,0.16982734459174684,0.49901424265601246,0.0507350460114232,0.9062324007195988,0.9755054432348367,5,38580,945,37635,7,59
encoder,2,stemfinal_differ,linear,0.4260416666666667,0.21890867261130711,0.4900097996066123,-0.06396813293994558,0.4272118094163474,0.7379518072289156,5,4980,3675,1305,7,6
encoder,2,stemfinal_differ,mlp,0.5905909090909092,0.1343978712074209,0.4943550092334507,0.09623589985745845,0.5557549287773074,0.7379518072289156,5,4980,3675,1305,7,6
encoder,2,all,linear,0.6153914141414141,0.2103106175978773,0.5,0.11539141414141407,0.7974625374625375,0.8939393939393939,5,43560,4620,38940,7,59
encoder,2,all,mlp,0.5061742424242424,0.08297935609785394,0.5006911659796816,0.005483076444560808,0.7899666999667,0.8939393939393939,5,43560,4620,38940,7,59
encoder,3,stemfinal_same,linear,0.5731854430645906,0.1882460406846585,0.49991827839825664,0.07326716466633398,0.9046560382708465,0.9755054432348367,5,38580,945,37635,7,59
encoder,3,stemfinal_same,mlp,0.5655125760276241,0.196372729522771,0.5008350809392162,0.06467749508840781,0.9115643918989214,0.9755054432348367,5,38580,945,37635,7,59
encoder,3,stemfinal_differ,linear,0.4632451298701299,0.157573256816326,0.5042682666386863,-0.0410231367685564,0.4606839548619588,0.7379518072289156,5,4980,3675,1305,7,6
