layer_type,layer_index,subset,probe_type,balanced_accuracy,balanced_std,control_balanced_accuracy,control_balanced_std,selectivity,raw_accuracy,majority_baseline,n_folds,n_controls,n_samples,n_L,n_NL,n_L_lemmas,n_NL_lemmas
encoder,0,stemfinal_same,linear,0.8153281243336019,0.21142488411038915,0.5552539142067988,0.0549015746449487,0.2600742101268031,0.9640672541474855,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,0,stemfinal_same,mlp,0.7691861367866485,0.23739990390048446,0.5187590171703688,0.05599305555244595,0.2504271196162797,0.940867531402842,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,0,stemfinal_differ,linear,0.7792727272727272,0.17049951669522695,0.5281537215472699,0.17047722509829763,0.2511190057254573,0.7689085789670584,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,0,stemfinal_differ,mlp,0.7657489177489178,0.18758123823696532,0.49803778801843324,0.11526175403474226,0.2677111297304846,0.8173249059798767,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,0,all,linear,0.8292493112947659,0.18563137290040083,0.45241965105601467,0.04816074924614413,0.3768296602387512,0.9449683649683649,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,0,all,mlp,0.7212155647382921,0.19924246691452935,0.48076354453627185,0.05608589376391075,0.24045202020202022,0.9146886446886449,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,1,stemfinal_same,linear,0.824751463049991,0.20968667398060514,0.5479972055490907,0.040156720835254865,0.2767542575009003,0.9580389228052917,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,1,stemfinal_same,mlp,0.7776018224570804,0.24505655966968667,0.5175198369860171,0.03472342826802125,0.2600819854710633,0.9530171997806051,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,1,stemfinal_differ,linear,0.8606580086580087,0.1856538704342136,0.6632599916212819,0.18087566906100896,0.19739801703672677,0.851544686632406,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,1,stemfinal_differ,mlp,0.7713463203463202,0.17128769321799328,0.5120505097053485,0.11451550579198842,0.25929581064097174,0.8061396814145352,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,1,all,linear,0.8342045454545455,0.19065954827421505,0.5160479797979798,0.06646772413014522,0.3181565656565657,0.9411688311688312,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,1,all,mlp,0.7054074839302112,0.1904120782218945,0.5217323232323232,0.0608806827790316,0.18367516069788803,0.8933699633699634,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,2,stemfinal_same,linear,0.8353808802705508,0.18898744141527346,0.48465789469876136,0.05019554069212732,0.35072298557178944,0.9612986075983396,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,2,stemfinal_same,mlp,0.77647579399222,0.24318951467961497,0.4786493707589859,0.046794600052182854,0.2978264232332341,0.9471894042787448,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,2,stemfinal_differ,linear,0.8392987012987012,0.17903657932757072,0.5622939393939393,0.18840063982822816,0.27700476190476186,0.8163810423927383,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,2,stemfinal_differ,mlp,0.8681212121212122,0.15255977455084382,0.5219160707455237,0.22828424767322317,0.3462051413756885,0.8557522200563137,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,2,all,linear,0.8508585858585859,0.19248745697378694,0.48060996326905414,0.04135958494529964,0.37024862258953173,0.9534132534132536,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,2,all,mlp,0.6994559228650139,0.1918879805511853,0.46142975206611564,0.034045300089287564,0.23802617079889826,0.881107226107226,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,3,stemfinal_same,linear,0.8571433902186334,0.1906351449948169,0.49462649331869624,0.07053141001015684,0.36251689689993716,0.9702957295289696,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,3,stemfinal_same,mlp,0.8058983269356407,0.18641370048424782,0.49031231306968215,0.05911027716331336,0.3155860138659585,0.9525931934677183,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,3,stemfinal_differ,linear,0.8628095238095238,0.1839677581926294,0.5904832425638877,0.1003668814254299,0.27232628124563607,0.8439734577746274,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,3,stemfinal_differ,mlp,0.9061731601731602,0.10457520338933705,0.421600893729926,0.11220378827161899,0.4845722664432342,0.8816673558194026,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,3,all,linear,0.865806932966024,0.18987267777942987,0.43598484848484853,0.03128883010363294,0.4298220844811754,0.9584249084249084,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,3,all,mlp,0.7496510560146923,0.15843869085933585,0.46967286501377414,0.05151411510667484,0.27997819100091814,0.8756543456543457,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,0,stemfinal_same,linear,0.8064950638206995,0.18821356763973887,0.47453137351003943,0.03907275760176744,0.33196369031066003,0.9724502108702129,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,0,stemfinal_same,mlp,0.8039864944059744,0.1825172369174479,0.4674521592229105,0.0392458520927669,0.33653433518306386,0.9774984516339821,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,0,stemfinal_differ,linear,0.878069264069264,0.1900972491906373,0.5921075268817205,0.17395813563127469,0.2859617371875435,0.8851044558646898,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,0,stemfinal_differ,mlp,0.8553852813852814,0.1787453123756713,0.54028806032677,0.17502143865046135,0.31509722105851135,0.8763430011617146,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,0,all,linear,0.7916161616161616,0.16833835269983763,0.4758388429752066,0.03917167884795961,0.31577731864095493,0.9167698967698967,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,0,all,mlp,0.7609561524334251,0.16621816424448815,0.5223314967860422,0.09721252867329545,0.2386246556473829,0.9128804528804528,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,1,stemfinal_same,linear,0.8159828998017471,0.18096754951734234,0.4725280397076518,0.01987581767385801,0.3434548600940953,0.9885680915187762,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,1,stemfinal_same,mlp,0.8219765284776084,0.18275695759322363,0.507414976697511,0.01959690666220828,0.31456155178009737,0.984577065572324,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,1,stemfinal_differ,linear,0.8563982683982683,0.13336690812446778,0.34622875964615096,0.0616752618568155,0.5101695087521173,0.8393757457617106,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,1,stemfinal_differ,mlp,0.8804372294372295,0.10734198854863475,0.41886567518503004,0.09613634664321874,0.4615715542521994,0.8938681158564199,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,1,all,linear,0.803716712580349,0.1719782140425815,0.44985123966942153,0.016212206131406153,0.3538654729109275,0.9320313020313021,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,1,all,mlp,0.7976124885215794,0.1789765533047294,0.5163344811753903,0.10431779698208397,0.28127800734618913,0.9285431235431236,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,2,stemfinal_same,linear,0.8616567970326023,0.18967094430441409,0.5235494576796749,0.0665255369425043,0.33810733935292747,0.9782982896081645,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,2,stemfinal_same,mlp,0.8494126181885665,0.1831561911788547,0.4731659201660647,0.03840269646281056,0.3762466980225018,0.9838084208447704,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,2,stemfinal_differ,linear,0.872025974025974,0.15935447825664376,0.508493283061025,0.19872135864046642,0.363532690964949,0.8534481658692185,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,2,stemfinal_differ,mlp,0.9187705627705627,0.1207235875533155,0.5771251234039454,0.16018419386619884,0.3416454393666173,0.9057747848858959,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,2,all,linear,0.836300505050505,0.18284911323100914,0.5073572084481175,0.07114398550976421,0.3289432966023875,0.9323326673326674,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,2,all,mlp,0.8185227272727273,0.18287469937881107,0.5185987144168962,0.06723980531375442,0.29992401285583115,0.9327738927738928,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,3,stemfinal_same,linear,0.8149474704091741,0.18547510152691965,0.48260971561109234,0.049209607415045716,0.3323377547980818,0.9729323749195343,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,3,stemfinal_same,mlp,0.8085510316720053,0.1665492996955887,0.5424524541069419,0.0641546636096239,0.2660985775650634,0.9641018300950431,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,3,stemfinal_differ,linear,0.7737532467532467,0.2057163944533136,0.4597406786761626,0.13646331724139538,0.31401256807708416,0.7594499379762538,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,3,stemfinal_differ,mlp,0.8279783549783548,0.15970632777022764,0.41141307080016754,0.23586359000049478,0.4165652841781873,0.8122618780396558,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,3,all,linear,0.8083161157024795,0.19117906468049686,0.49301836547291095,0.03788689740945004,0.3152977502295686,0.9432450882450883,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,3,all,mlp,0.7698737373737374,0.16496015405476827,0.5412093663911846,0.0743244877664743,0.22866437098255288,0.9142007992007992,0.8939393939393939,5,5,43560,4620,38940,7,59
