layer_type,layer_index,subset,probe_type,balanced_accuracy,balanced_std,control_balanced_accuracy,control_balanced_std,selectivity,raw_accuracy,majority_baseline,n_folds,n_controls,n_samples,n_L,n_NL,n_L_lemmas,n_NL_lemmas
encoder,0,stemfinal_same,linear,0.7834034160647197,0.22350479667520368,0.5428187535397285,0.03616239508833366,0.24058466252499122,0.969970957653873,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,0,stemfinal_same,mlp,0.8021128571098325,0.1933712319594365,0.5253122566900021,0.07054727429744756,0.27680060041983034,0.9282854909131588,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,0,stemfinal_differ,linear,0.8525064935064934,0.18195141500641565,0.5176346320346321,0.20158211991978073,0.3348718614718613,0.9185407289266937,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,0,stemfinal_differ,mlp,0.8473506493506493,0.18346658328330398,0.44075140343527447,0.15647387124488588,0.40659924591537483,0.9128857384763818,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,0,all,linear,0.8193560606060606,0.18203611990931245,0.443302800734619,0.02517655477612815,0.3760532598714416,0.9317066267066266,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,0,all,mlp,0.7614152892561984,0.16941733012435717,0.4645583103764922,0.049244302383374065,0.2968569788797062,0.8855311355311356,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,1,stemfinal_same,linear,0.8103018550846194,0.2153022325122129,0.4684087867555302,0.04509949173496759,0.34189306832908917,0.969247528615145,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,1,stemfinal_same,mlp,0.7865670601985779,0.2040078373184834,0.5195907970994529,0.05212803542355431,0.26697626309912503,0.9586747175579656,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,1,stemfinal_differ,linear,0.8606753246753247,0.18404484531761708,0.6311018572825025,0.14952337088095524,0.22957346739282225,0.9248812491385591,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,1,stemfinal_differ,mlp,0.8244588744588744,0.17784760767580013,0.5389212819438626,0.12774914296850978,0.2855375925150119,0.8982196231319037,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,1,all,linear,0.8248737373737374,0.17137032800332547,0.5185071166207529,0.09424203413581182,0.3063666207529845,0.932993672993673,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,1,all,mlp,0.8111455463728191,0.1914176321272197,0.5068335629017447,0.042303636095086805,0.30431198347107435,0.9203130203130204,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,2,stemfinal_same,linear,0.815386751647061,0.18828082869587834,0.4911142438935731,0.042774832855545265,0.32427250775348787,0.97313729632192,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,2,stemfinal_same,mlp,0.7979845438392907,0.1967494322676652,0.4547312407225844,0.019109817231680055,0.3432533031167063,0.963996671173223,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,2,stemfinal_differ,linear,0.9693290043290043,0.04405316982160444,0.6090645021645021,0.22209532927736222,0.3602645021645021,0.9737962864512572,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,2,stemfinal_differ,mlp,0.8605887445887446,0.17088196910200862,0.4949397983036132,0.1858388125473812,0.3656489462851314,0.9338911138677221,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,2,all,linear,0.8395994031221303,0.16328542569741172,0.5086485307621672,0.044248621736155146,0.3309508723599631,0.9456676656676656,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,2,all,mlp,0.8160674931129476,0.18078547264093944,0.48980555555555555,0.0517672638309951,0.326261937557392,0.9304478854478855,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,3,stemfinal_same,linear,0.7850801454518589,0.21222313401274778,0.5118398289946061,0.040684782980955785,0.2732403164572528,0.9703824516971509,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,3,stemfinal_same,mlp,0.802207089137332,0.18845661145707204,0.5199937250537265,0.08617648017587333,0.2822133640836054,0.9759373107115186,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,3,stemfinal_differ,linear,0.9425411255411256,0.08787427280321024,0.5886010613042871,0.13327663762075018,0.35394006423683844,0.9532834780554078,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,3,stemfinal_differ,mlp,0.8803766233766233,0.12367716686364635,0.429527161011032,0.15577807445062689,0.45084946236559126,0.9097131155610688,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,3,all,linear,0.8196843434343434,0.1812862958813494,0.4642040863177227,0.05885807139040078,0.3554802571166207,0.9432833832833832,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,3,all,mlp,0.8182702020202021,0.18506903516184758,0.5019506427915519,0.05720953699381758,0.3163195592286502,0.9384415584415585,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,0,stemfinal_same,linear,0.8363793920447931,0.11206764354303066,0.46944552926716376,0.013603735690709348,0.3669338627776293,0.9867723134462706,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,0,stemfinal_same,mlp,0.843498153717055,0.1359110362170275,0.4714163526985244,0.031799112374431844,0.37208180101853067,0.9848021311390734,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,0,stemfinal_differ,linear,0.905012987012987,0.09924765771487894,0.5227905320485966,0.20376082283448702,0.38222245496439045,0.875174828204068,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,0,stemfinal_differ,mlp,0.8975627705627705,0.06481160789188564,0.5450343946376205,0.13606228694727682,0.35252837592514996,0.885157067753559,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,0,all,linear,0.7810606060606061,0.17481577458971925,0.4842337006427916,0.02357192495428877,0.29682690541781453,0.9048268398268398,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,0,all,mlp,0.782382920110193,0.17946242639991172,0.46539049586776854,0.011553876855995515,0.3169924242424244,0.9106227106227106,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,1,stemfinal_same,linear,0.8142664837660872,0.13125659430225609,0.49444124402098544,0.039892019792840495,0.3198252397451018,0.973614327180085,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,1,stemfinal_same,mlp,0.8430130392742473,0.10533789290810343,0.5072375074798613,0.06343211248971298,0.335775531794386,0.9881643009312961,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,1,stemfinal_differ,linear,0.9604329004329003,0.02882984279934872,0.4810860433629017,0.1527641120703694,0.4793468570699986,0.9461227479473093,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,1,stemfinal_differ,mlp,0.9601991341991342,0.03181592417705388,0.45759318530931437,0.0795440616900262,0.5026059488898198,0.962000826983283,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,1,all,linear,0.8204660238751147,0.11816590958764059,0.45594513314967855,0.019956451252521067,0.36452089072543614,0.9164319014319015,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,1,all,mlp,0.7856565656565656,0.1721132325309825,0.5061563360881542,0.06947353450696911,0.27950022956841136,0.909921744921745,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,2,stemfinal_same,linear,0.8152032855397208,0.1995849270313083,0.5269987140388036,0.057994823174415705,0.28820457150091716,0.9905558686697636,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,2,stemfinal_same,mlp,0.841802771248868,0.17149159286033727,0.4705841050498273,0.017983613118264765,0.37121866619904076,0.9777483478120519,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,2,stemfinal_differ,linear,0.7941255411255411,0.2482180429539423,0.47290680072615565,0.1860379036795067,0.32121874039938547,0.8090487723236262,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,2,stemfinal_differ,mlp,0.8494199134199134,0.1891394864104676,0.5724076817058584,0.14474014979083633,0.277012231714055,0.8971209167700396,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,2,all,linear,0.8562121212121212,0.18933372190845718,0.48080073461891637,0.043773787957584076,0.37541138659320483,0.9477639027639027,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,2,all,mlp,0.8474471992653811,0.18759240902452068,0.47958631772268134,0.029740514568068057,0.3678608815426998,0.9431701631701632,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,3,stemfinal_same,linear,0.782435536190615,0.18519041583462995,0.4885226159115774,0.04885830228521222,0.2939129202790376,0.9443877632467359,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,3,stemfinal_same,mlp,0.768010203977641,0.17065839980248498,0.5077830789311104,0.022873143403149252,0.26022712504653056,0.9481890330034684,0.962322183775471,5,5,39015,1470,37545,7,59
decoder,3,stemfinal_differ,linear,0.7976450216450217,0.21969369387445384,0.5053120234604106,0.1324675648856007,0.2923329981846111,0.8342966507177033,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,3,stemfinal_differ,mlp,0.793969696969697,0.2076835347138906,0.4013108504398827,0.20596385515942034,0.3926588465298143,0.8363110244747671,0.693069306930693,5,5,4545,3150,1395,6,6
decoder,3,all,linear,0.7972199265381084,0.20413437906656223,0.5022936179981635,0.042831705645612235,0.29492630853994484,0.9033816183816186,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,3,all,mlp,0.7665518824609734,0.18372730745643479,0.5297242883379247,0.06599968732193426,0.23682759412304866,0.8946453546453548,0.8939393939393939,5,5,43560,4620,38940,7,59
