layer_type,layer_index,subset,probe_type,balanced_accuracy,balanced_std,control_balanced_accuracy,selectivity,raw_accuracy,majority_baseline,n_folds,n_samples,n_L,n_NL,n_L_lemmas,n_NL_lemmas
encoder,0,stemfinal_same,linear,0.49531725211255573,0.1319473518435318,0.5,-0.004682747887444272,0.8597013693822767,0.9614931237721022,5,38175,1470,36705,7,59
encoder,0,stemfinal_same,mlp,0.4559082510939228,0.060350808910155505,0.5,-0.0440917489060772,0.8399750142905393,0.9614931237721022,5,38175,1470,36705,7,59
encoder,0,stemfinal_differ,linear,0.7968970814132105,0.1651685717709525,0.5028079888439299,0.2940890925692806,0.7799439406856287,0.584958217270195,5,5385,3150,2235,6,10
encoder,0,stemfinal_differ,mlp,0.8211305683563748,0.17965390215599542,0.497332200937257,0.32379836741911777,0.816676483505128,0.584958217270195,5,5385,3150,2235,6,10
encoder,0,all,linear,0.6783275941230487,0.22649701127218982,0.5,0.17832759412304866,0.8702514152514151,0.8939393939393939,5,43560,4620,38940,7,59
encoder,0,all,mlp,0.5523886593204775,0.1968729932705092,0.5,0.05238865932047754,0.7865018315018315,0.8939393939393939,5,43560,4620,38940,7,59
encoder,1,stemfinal_same,linear,0.49261708352305733,0.12317673667478819,0.5,-0.007382916476942669,0.8535661851997661,0.9614931237721022,5,38175,1470,36705,7,59
encoder,1,stemfinal_same,mlp,0.45460359410226536,0.04485876475583219,0.5,-0.04539640589773464,0.87334108551625,0.9614931237721022,5,38175,1470,36705,7,59
encoder,1,stemfinal_differ,linear,0.823563748079877,0.17930698752128973,0.5001604130039409,0.3234033350759361,0.8183277790694671,0.584958217270195,5,5385,3150,2235,6,10
encoder,1,stemfinal_differ,mlp,0.8890076804915514,0.09233131167661753,0.4961624439426487,0.39284523654890274,0.8890612002376708,0.584958217270195,5,5385,3150,2235,6,10
encoder,1,all,linear,0.6752594123048669,0.22988015416295132,0.5001192863274648,0.17514012597740203,0.8659823509823509,0.8939393939393939,5,43560,4620,38940,7,59
encoder,1,all,mlp,0.6246981175390266,0.19805034411002626,0.49996934952889094,0.12472876801013566,0.8183932733932734,0.8939393939393939,5,43560,4620,38940,7,59
encoder,2,stemfinal_same,linear,0.49982774828025567,0.12967502204033343,0.5,-0.00017225171974433184,0.8673362091984316,0.9614931237721022,5,38175,1470,36705,7,59
encoder,2,stemfinal_same,mlp,0.5416164261996416,0.1278908168542741,0.49971786461828627,0.0418985615813553,0.8889309362907107,0.9614931237721022,5,38175,1470,36705,7,59
encoder,2,stemfinal_differ,linear,0.8286850998463902,0.18047748877464784,0.5039516554082821,0.32473344443810803,0.8244279108217727,0.584958217270195,5,5385,3150,2235,6,10
encoder,2,stemfinal_differ,mlp,0.9180768049155146,0.07033315631293598,0.5030937929135159,0.4149830120019987,0.9190743754682373,0.584958217270195,5,5385,3150,2235,6,10
encoder,2,all,linear,0.7049093204775023,0.2181891319472246,0.49986092458491205,0.20504839589259027,0.8712304362304362,0.8939393939393939,5,43560,4620,38940,7,59
encoder,2,all,mlp,0.5688475665748394,0.19630605511260746,0.49992182537796503,0.06892574119687433,0.8195571095571097,0.8939393939393939,5,43560,4620,38940,7,59
