layer_type,layer_index,subset,probe_type,balanced_accuracy,balanced_std,control_balanced_accuracy,selectivity,raw_accuracy,majority_baseline,n_folds,n_samples,n_L,n_NL,n_L_lemmas,n_NL_lemmas
encoder,0,stemfinal_same,linear,0.4659257943270723,0.04580003698537768,0.5,-0.03407420567292768,0.8617996969931777,0.9755054432348367,5,38580,945,37635,7,59
encoder,0,stemfinal_same,mlp,0.5298550954473263,0.07891646851673019,0.4999866167023555,0.02986847874497084,0.9356452445494587,0.9755054432348367,5,38580,945,37635,7,59
encoder,0,stemfinal_differ,linear,0.42696969696969694,0.11874148753985368,0.4946779211468266,-0.06770822417712968,0.4037483599321245,0.7379518072289156,5,4980,3675,1305,7,6
encoder,0,stemfinal_differ,mlp,0.4884599567099567,0.06271334416297018,0.4961931176658226,-0.007733160955865903,0.413911449616904,0.7379518072289156,5,4980,3675,1305,7,6
encoder,0,all,linear,0.6428661616161616,0.2106254305822504,0.5,0.1428661616161616,0.8234598734598734,0.8939393939393939,5,43560,4620,38940,7,59
encoder,0,all,mlp,0.47030303030303033,0.025459774545068658,0.5,-0.029696969696969666,0.82993006993007,0.8939393939393939,5,43560,4620,38940,7,59
encoder,1,stemfinal_same,linear,0.5485094602791912,0.19024647298215483,0.5,0.04850946027919123,0.8782166737637371,0.9755054432348367,5,38580,945,37635,7,59
encoder,1,stemfinal_same,mlp,0.5235790983484109,0.11944957781357414,0.5003298266392348,0.023249271709176123,0.9046970174133563,0.9755054432348367,5,38580,945,37635,7,59
encoder,1,stemfinal_differ,linear,0.4422159090909091,0.13230644182257428,0.4928781454936749,-0.05066223640276585,0.4182172759110344,0.7379518072289156,5,4980,3675,1305,7,6
encoder,1,stemfinal_differ,mlp,0.5143257575757576,0.1665188748364736,0.5101726105003902,0.004153147075367403,0.4140326111904528,0.7379518072289156,5,4980,3675,1305,7,6
encoder,1,all,linear,0.6419065656565657,0.19569881214246562,0.5,0.14190656565656568,0.8403030303030304,0.8939393939393939,5,43560,4620,38940,7,59
encoder,1,all,mlp,0.5513762626262626,0.1752290286405724,0.49995716186403366,0.05141910076222894,0.8219863469863471,0.8939393939393939,5,43560,4620,38940,7,59
encoder,2,stemfinal_same,linear,0.5010155062223582,0.10038413808880008,0.49987759142126914,0.0011379148010891016,0.8661151011020909,0.9755054432348367,5,38580,945,37635,7,59
encoder,2,stemfinal_same,mlp,0.5647781378969103,0.2003270222631559,0.49936496120723534,0.065413176689675,0.9098638639962289,0.9755054432348367,5,38580,945,37635,7,59
encoder,2,stemfinal_differ,linear,0.5128798701298701,0.1451965379639601,0.497501392324859,0.015378477805011115,0.46887755476368487,0.7379518072289156,5,4980,3675,1305,7,6
encoder,2,stemfinal_differ,mlp,0.5934880952380952,0.19973995140166886,0.4998616305973417,0.09362646464075353,0.5310639389992435,0.7379518072289156,5,4980,3675,1305,7,6
encoder,2,all,linear,0.6105681818181818,0.16360357006323228,0.5006695262281002,0.1098986555900816,0.8316616716616716,0.8939393939393939,5,43560,4620,38940,7,59
encoder,2,all,mlp,0.5494949494949495,0.16544481049696144,0.49985335015243465,0.04964159934251483,0.8176173826173827,0.8939393939393939,5,43560,4620,38940,7,59
encoder,3,stemfinal_same,linear,0.5263289388861317,0.0905484755579842,0.5,0.026328938886131747,0.8860971490581571,0.9755054432348367,5,38580,945,37635,7,59
encoder,3,stemfinal_same,mlp,0.48264270003781584,0.0653335005750385,0.49654235199138075,-0.013899651953564907,0.899949553270296,0.9755054432348367,5,38580,945,37635,7,59
