layer_type,layer_index,subset,probe_type,balanced_accuracy,balanced_std,control_balanced_accuracy,control_balanced_std,selectivity,raw_accuracy,majority_baseline,n_folds,n_controls,n_samples,n_L,n_NL,n_L_lemmas,n_NL_lemmas
encoder,0,stemfinal_same,linear,0.7828535686243197,0.24789142981044865,0.5075704210545402,0.03326662408494567,0.27528314756977945,0.9551815343103399,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,0,stemfinal_same,mlp,0.7682547754849284,0.23210254787079476,0.5278835975403131,0.057334335656599136,0.24037117794461527,0.9265800249482077,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,0,stemfinal_differ,linear,0.7857229437229438,0.14427469432137116,0.5035954754922496,0.1600231887922027,0.28212746823069423,0.7899783802941698,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,0,stemfinal_differ,mlp,0.7155454545454545,0.18380150100860915,0.46839913419913426,0.13982643921811921,0.24714632034632023,0.7595247602732982,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,0,all,linear,0.7594754361799817,0.16516195680954956,0.47735560146923783,0.05050589950137905,0.28211983471074387,0.9125907425907425,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,0,all,mlp,0.699709595959596,0.17793465623251362,0.45891046831955923,0.03134037742132142,0.2407991276400368,0.8899567099567098,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,1,stemfinal_same,linear,0.8336201940352138,0.1989607461010654,0.49004564171557385,0.055086635131301416,0.34357455231963996,0.9737552388621525,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,1,stemfinal_same,mlp,0.7637091476176584,0.23799327132998033,0.5239043307081078,0.022989991892074985,0.23980481690955058,0.9642717331967313,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,1,stemfinal_differ,linear,0.8829264069264069,0.1408639984771757,0.6397521435553694,0.18288066394081615,0.24317426337103754,0.8517557642703842,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,1,stemfinal_differ,mlp,0.9089956709956709,0.11512350145852035,0.5041923195084486,0.1947302917433875,0.40480335148722235,0.9116909445330498,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,1,all,linear,0.836111111111111,0.17663809734721858,0.4931896235078053,0.058162994632224865,0.3429214876033057,0.9400416250416249,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,1,all,mlp,0.792260101010101,0.1685183978479001,0.5090325987144169,0.0423737105240005,0.28322750229568416,0.9108991008991009,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,2,stemfinal_same,linear,0.8524909291267326,0.1868890329879557,0.4971291910857529,0.042816830178924126,0.35536173804097976,0.9716304523172485,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,2,stemfinal_same,mlp,0.8078968762647177,0.215623397838464,0.4513113694296925,0.029453171381632972,0.3565855068350252,0.964257304781768,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,2,stemfinal_differ,linear,0.8908571428571428,0.09361396101087233,0.6160930735930735,0.2072089726528681,0.27476406926406927,0.8793001358615393,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,2,stemfinal_differ,mlp,0.9459523809523811,0.06620691813602485,0.5587021924312247,0.18080161364490344,0.38725018852115645,0.9387985114300903,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,2,all,linear,0.866388888888889,0.18612589798445658,0.4782190082644628,0.0332483325388318,0.3881698806244262,0.9470396270396272,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,2,all,mlp,0.846010101010101,0.15868301586183647,0.4708624885215794,0.04129998874389466,0.3751476124885216,0.9390942390942391,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,3,stemfinal_same,linear,0.8276940955612732,0.18991482345058033,0.49976721288500825,0.06113913780157572,0.3279268826762649,0.967717723212543,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,3,stemfinal_same,mlp,0.8184520734568339,0.182447525675479,0.47388284908696504,0.03891748920992617,0.34456922436986887,0.974354338149342,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,3,stemfinal_differ,linear,0.8741212121212122,0.14504299229069442,0.5829691663175535,0.1273981392331196,0.2911520458036587,0.8582799535314155,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,3,stemfinal_differ,mlp,0.9463376623376624,0.049822567807807604,0.3854168970814132,0.09373045532605673,0.5609207652562491,0.9448517140213047,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,3,all,linear,0.8561489898989899,0.18853383655127365,0.44740725436179984,0.047180155209043215,0.40874173553719007,0.9514502164502165,0.8939393939393939,5,5,43560,4620,38940,7,59
