arch,subset,lkey,layer,probe_type,n_runs,balanced_accuracy_mean,selectivity_mean,control_balanced_accuracy_mean,raw_accuracy_mean,majority_baseline_mean,balanced_accuracy_std,selectivity_std,control_balanced_accuracy_std,raw_accuracy_std,majority_baseline_std,layer_index
character_separated,all,0,enc0,linear,12,0.6678301958983778,0.18335428145087232,0.4844759144475053,0.8356048118548118,0.8939393939393939,0.11011000418920969,0.1240384525982739,0.019967292302557765,0.06075054460058481,0.0,
character_separated,all,1,enc1,linear,12,0.6695738636363636,0.16498174931129472,0.5045921143250689,0.8476950826950826,0.8939393939393939,0.12246383716922188,0.12420942902459263,0.014916220393065005,0.05946955678277716,0.0,
character_separated,all,2,enc2,linear,12,0.6530725818794,0.1513783861340679,0.5016941957453321,0.8451166888666889,0.8939393939393939,0.13760286849831146,0.14799200628289738,0.018760885624045546,0.05645397846081452,0.0,
character_separated,all,3,enc3,linear,12,0.6579046143250689,0.16639713422099783,0.491507480104071,0.8484065934065934,0.8939393939393939,0.13107552817822632,0.16267579296027662,0.039275910271085394,0.052828976505249016,0.0,
character_separated,all,100,dec0,linear,12,0.6966813016528927,0.1801084710743802,0.5165728305785123,0.8509383671883671,0.8939393939393939,0.12057053950489494,0.1303510406669212,0.034186950442869006,0.07183577827838732,0.0,
character_separated,all,101,dec1,linear,12,0.6741135789715336,0.15690536042240585,0.5172082185491277,0.842273976023976,0.8939393939393939,0.10572029397896437,0.1394157067939135,0.047438692907901946,0.05288149493611233,0.0,
character_separated,all,102,dec2,linear,12,0.6703711355984083,0.1787813552188552,0.4915897803795531,0.8425901875901877,0.8939393939393939,0.12922059420871068,0.12277883279628386,0.019416008905296527,0.0648170442648562,0.0,
character_separated,all,103,dec3,linear,12,0.6457558539944904,0.15572040480563207,0.4900354491888583,0.8348869186369187,0.8939393939393939,0.1341773434268876,0.11511248376377246,0.023716791147004885,0.0801722096407176,0.0,
character_separated,all,0,enc0,mlp,12,0.5650536616161616,0.07149994260789717,0.49355371900826445,0.8244080919080918,0.8939393939393939,0.12943530829808148,0.1379540738995775,0.02212538140351985,0.049746892955045814,0.0,
character_separated,all,1,enc1,mlp,12,0.5748105104071013,0.07309379782675236,0.5017167125803489,0.8246504884004883,0.8939393939393939,0.11627456075683792,0.11558776006385127,0.012118871697880477,0.046049891134289596,0.0,
character_separated,all,2,enc2,mlp,12,0.6086113024181207,0.1201314470462198,0.4884798553719008,0.8202695915195916,0.8939393939393939,0.14146032334242084,0.16165457223782384,0.022930422828224096,0.050047950031391314,0.0,
character_separated,all,3,enc3,mlp,12,0.6239193067033976,0.14104354147535964,0.48287576522803793,0.8344420856920857,0.8939393939393939,0.11555096877051542,0.11941864090660613,0.021443220726202677,0.04652931759781585,0.0,
character_separated,all,100,dec0,mlp,12,0.6357785238751148,0.11635072314049588,0.5194278007346189,0.8316210178710178,0.8939393939393939,0.1424281224683694,0.16362173750234155,0.030284162469054465,0.05473770140806045,0.0,
character_separated,all,101,dec1,mlp,12,0.6215382996632997,0.11292120064279158,0.5086170990205081,0.8294352869352869,0.8939393939393939,0.1280159833772796,0.14106834334733465,0.019282489781875693,0.054073533455027877,0.0,
character_separated,all,102,dec2,mlp,12,0.60078407177839,0.11841322314049586,0.4823708486378941,0.8205821955821956,0.8939393939393939,0.10042872264475904,0.11675273895740361,0.022880271804394472,0.051271702239346975,0.0,
character_separated,all,103,dec3,mlp,12,0.5923148148148148,0.07135357361493723,0.5209612411998775,0.8198534798534798,0.8939393939393939,0.11805642630961356,0.11081210920664737,0.02570369138879643,0.05492208127907923,0.0,
character_separated,stemfinal_differ,0,enc0,linear,12,0.6347250432512529,0.07971838120742006,0.5550066620438329,0.6349867988247847,0.6719931104766013,0.17549753590213366,0.22486268785372074,0.05366668573501926,0.19040936250855386,0.06706802074877764,
character_separated,stemfinal_differ,1,enc1,linear,12,0.6883121945259042,0.07660936974128797,0.6117028247846162,0.6806935511000661,0.6719931104766013,0.1652121034988225,0.09850071673532708,0.07980765944199608,0.1813156676923421,0.06706802074877764,
character_separated,stemfinal_differ,2,enc2,linear,12,0.6738816840641437,0.1438641633278622,0.5300175207362815,0.6632687688192828,0.6719931104766013,0.16167092884888196,0.1938104977741917,0.039792686657982745,0.18023945035053654,0.06706802074877764,
character_separated,stemfinal_differ,3,enc3,linear,12,0.703451023289733,0.15531822557412123,0.5481327977156117,0.6913121453735115,0.6719931104766013,0.1389055918318885,0.17221075573950495,0.062315894327778135,0.1665712116763312,0.06706802074877764,
character_separated,stemfinal_differ,100,dec0,linear,12,0.6802603555718475,0.13783737258954767,0.5424229829822999,0.6876764612920011,0.6719931104766013,0.1062377979699295,0.1233387624210883,0.02221377632433125,0.11221905008388251,0.06706802074877764,
character_separated,stemfinal_differ,101,dec1,linear,12,0.7335000421845179,0.2370759360431313,0.4964241061413866,0.7255190265354882,0.6719931104766013,0.076857570030688,0.07576312032272596,0.10470955836630351,0.09001075300353127,0.06706802074877764,
character_separated,stemfinal_differ,102,dec2,linear,12,0.7242169884327142,0.22563405503934683,0.49858293339336734,0.7301094864941383,0.6719931104766013,0.09788496906728973,0.08751756461037768,0.05531422152199341,0.10144120698027491,0.06706802074877764,
character_separated,stemfinal_differ,103,dec3,linear,12,0.6875248874109761,0.15673551020299156,0.5307893772079845,0.6847547571330702,0.6719931104766013,0.0968605205473377,0.0654177215569328,0.04871646446842085,0.1024407838024132,0.06706802074877764,
character_separated,stemfinal_differ,0,enc0,mlp,12,0.6627733658590513,0.22674202347022807,0.4360313423888233,0.6575960100581894,0.6719931104766013,0.15023991120717006,0.1535133247285321,0.031073237324113562,0.16898880232474592,0.06706802074877764,
character_separated,stemfinal_differ,1,enc1,mlp,12,0.682993336300796,0.2050802170742139,0.47791311922658203,0.652856591242343,0.6719931104766013,0.15664698442930702,0.1764181005650609,0.04452924853124743,0.17268141026616812,0.06706802074877764,
character_separated,stemfinal_differ,2,enc2,mlp,12,0.6895343163780664,0.17175126530286391,0.5177830510752024,0.6611312126107219,0.6719931104766013,0.14141789802929752,0.1574494675008836,0.030620647894395985,0.1550472444123093,0.06706802074877764,
character_separated,stemfinal_differ,3,enc3,mlp,12,0.7315905847065122,0.303697896740051,0.42789268796646107,0.7057402139169667,0.6719931104766013,0.1277474593915378,0.1763724683597783,0.06040375555160601,0.14784430088634293,0.06706802074877764,
character_separated,stemfinal_differ,100,dec0,mlp,12,0.7126855779375941,0.219957720758577,0.492727857179017,0.7271648635374423,0.6719931104766013,0.09478534988797269,0.06900637252013948,0.047295105017626085,0.11862271314769017,0.06706802074877764,
character_separated,stemfinal_differ,101,dec1,mlp,12,0.7376025112879953,0.22539451563634305,0.5122079956516521,0.7462952511758291,0.6719931104766013,0.050020964503282916,0.06576963175124909,0.027876530098646247,0.056547748858598396,0.06706802074877764,
character_separated,stemfinal_differ,102,dec2,mlp,12,0.7262262021132989,0.26421330605074417,0.4620128960625547,0.7241287987681345,0.6719931104766013,0.05167349378810355,0.06736437595880113,0.07969586852490967,0.04991533746912979,0.06706802074877764,
character_separated,stemfinal_differ,103,dec3,mlp,12,0.6887285411720896,0.1487668645040722,0.5399616766680173,0.6738860950760966,0.6719931104766013,0.08394665457087105,0.12708550214507575,0.06901857482847701,0.08910772488841874,0.06706802074877764,
character_separated,stemfinal_same,0,enc0,linear,12,0.5823682932098299,0.10643170475699319,0.47593658845283665,0.8630006024446187,0.9664402502608033,0.1749263145357924,0.13561010746424462,0.041258751486650286,0.07381766418181031,0.006704415254260537,
character_separated,stemfinal_same,1,enc1,linear,12,0.5797558030510356,0.1026010467611701,0.4771547562898654,0.8839367103925428,0.9664402502608033,0.16634787733513226,0.13548659842771818,0.035133790089167186,0.059484225343172936,0.006704415254260537,
character_separated,stemfinal_same,2,enc2,linear,12,0.5900835767466363,0.07252461365862477,0.5175589630880116,0.8896117150713314,0.9664402502608033,0.16552648586076132,0.17993634850853793,0.020190967144349876,0.05178573700997792,0.006704415254260537,
character_separated,stemfinal_same,3,enc3,linear,12,0.6138700035494694,0.10170519690790018,0.5121648066415693,0.9036960298208584,0.9664402502608033,0.1610683524358476,0.15988438180035028,0.026534352213897886,0.048313820658589635,0.006704415254260537,
