layer_type,layer_index,subset,probe_type,balanced_accuracy,balanced_std,control_balanced_accuracy,control_balanced_std,selectivity,raw_accuracy,majority_baseline,n_folds,n_controls,n_samples,n_L,n_NL,n_L_lemmas,n_NL_lemmas
encoder,0,stemfinal_same,linear,0.8197520520512993,0.19365870953342304,0.5408132368437133,0.049368235394155455,0.278938815207586,0.9574510597033654,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,0,stemfinal_same,mlp,0.7519810545798787,0.2311085012467267,0.5198804956528555,0.04748305323977252,0.2321005589270232,0.8902496220711991,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,0,stemfinal_differ,linear,0.7536969696969698,0.2109768808235856,0.5104916073174138,0.11814953757695672,0.24320536237955592,0.7994333983105913,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,0,stemfinal_differ,mlp,0.7335670995670995,0.20707544416400533,0.44395182237117725,0.14124912208567375,0.2896152771959223,0.762687144347963,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,0,all,linear,0.8156278696051423,0.19012844209860894,0.463130624426079,0.038298898364726525,0.35249724517906333,0.930999000999001,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,0,all,mlp,0.6932231404958678,0.17693133376087378,0.45491620752984385,0.049796951089736766,0.2383069329660239,0.8772627372627373,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,1,stemfinal_same,linear,0.7952091197158266,0.20256150707097959,0.4991094124628018,0.06862053305645087,0.2960997072530248,0.9666282490141705,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,1,stemfinal_same,mlp,0.7588024096947141,0.23143717531665792,0.4738003361452926,0.04938389364948663,0.28500207354942153,0.9300215935181473,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,1,stemfinal_differ,linear,0.6981818181818182,0.17512984739069126,0.6105533445049574,0.18215734853670276,0.08762847367686089,0.7433091145371847,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,1,stemfinal_differ,mlp,0.7581688311688312,0.2038860382989892,0.47493509286412516,0.10810149949788275,0.283233738304706,0.7834979817669876,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,1,all,linear,0.828699494949495,0.18983060603832747,0.47816942148760333,0.039431571290586914,0.3505300734618917,0.947905427905428,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,1,all,mlp,0.6954304407713499,0.1818490593505459,0.5099022038567493,0.03750485541523531,0.18552823691460052,0.8817249417249418,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,2,stemfinal_same,linear,0.7732452992556569,0.23728607689827313,0.49409764692341673,0.04542256786150086,0.27914765233224015,0.9689585977894097,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,2,stemfinal_same,mlp,0.7635221846396194,0.22768510705955256,0.4675485490645156,0.025121532764340745,0.2959736355751038,0.9461822618064988,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,2,stemfinal_differ,linear,0.7088008658008658,0.12511527684256202,0.5458607177768467,0.15367334541665517,0.16294014802401902,0.7238861913481797,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,2,stemfinal_differ,mlp,0.7794285714285715,0.18448248364847938,0.5822079767824508,0.18893305536461674,0.19722059464612063,0.7508809734774647,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,2,all,linear,0.8233677685950415,0.19708317825335855,0.4986737832874196,0.04560805680334954,0.32469398530762184,0.9408658008658008,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,2,all,mlp,0.6858861340679523,0.20370455464297865,0.47131611570247933,0.025250148206012703,0.21457001836547296,0.8747136197136198,0.8939393939393939,5,5,43560,4620,38940,7,59
