layer_type,layer_index,subset,probe_type,balanced_accuracy,balanced_std,control_balanced_accuracy,control_balanced_std,selectivity,raw_accuracy,majority_baseline,n_folds,n_controls,n_samples,n_L,n_NL,n_L_lemmas,n_NL_lemmas
ngram,1,stemfinal_same,ngram1-src,0.8143398700182087,0.18601577708098305,0.5155969998134547,0.03807915686551915,0.298742870204754,0.9759220447748665,0.962322183775471,5,5,39015,1470,37545,7,59
ngram,1,stemfinal_differ,ngram1-src,0.7283376623376623,0.1854571315214538,0.5535340874179584,0.22214258781957102,0.17480357491970389,0.7723756079311636,0.693069306930693,5,5,4545,3150,1395,6,6
ngram,1,all,ngram1-src,0.805888429752066,0.18862253300851142,0.47086317722681353,0.11144516189567569,0.33502525252525245,0.9312520812520813,0.8939393939393939,5,5,43560,4620,38940,7,59
ngram,1,stemfinal_same,lm1-src,0.7587546021126158,0.17937245124929538,0.5271591622841838,0.08671798409445775,0.231595439828432,0.9114870480054899,0.962322183775471,5,5,39015,1470,37545,7,59
ngram,1,stemfinal_differ,lm1-src,0.6878181818181819,0.13987264096486335,0.5028314481217707,0.162478275774609,0.18498673369641117,0.7449522121802824,0.693069306930693,5,5,4545,3150,1395,6,6
ngram,1,all,lm1-src,0.7626262626262627,0.18692626399357273,0.4668388429752066,0.08760091441486588,0.29578741965105604,0.8870462870462872,0.8939393939393939,5,5,43560,4620,38940,7,59
ngram,2,stemfinal_same,ngram2-src,0.755179325544297,0.14786113283384836,0.5397644595296436,0.05125730707132868,0.21541486601465343,0.9702977895249315,0.962322183775471,5,5,39015,1470,37545,7,59
ngram,2,stemfinal_differ,ngram2-src,0.8576017316017317,0.0870927316519493,0.4536301075268817,0.14292766099050175,0.40397162407485,0.8552070411719533,0.693069306930693,5,5,4545,3150,1395,6,6
ngram,2,all,ngram2-src,0.7539944903581267,0.19452212374158215,0.48202938475665746,0.024095881028764605,0.27196510560146925,0.9310356310356311,0.8939393939393939,5,5,43560,4620,38940,7,59
ngram,2,stemfinal_same,lm2-src,0.5760934130621822,0.06682443505294247,0.5018324552850276,0.04726014642868462,0.07426095777715458,0.9225072778906231,0.962322183775471,5,5,39015,1470,37545,7,59
ngram,2,stemfinal_differ,lm2-src,0.6946233766233767,0.11776799056123895,0.5055487222454964,0.11103386643417124,0.1890746543778803,0.7457050032488628,0.693069306930693,5,5,4545,3150,1395,6,6
ngram,2,all,lm2-src,0.6079545454545455,0.2059010139066908,0.4841322314049587,0.07382807880653137,0.12382231404958682,0.8636530136530135,0.8939393939393939,5,5,43560,4620,38940,7,59
ngram,3,stemfinal_same,ngram3-src,0.6626116234811887,0.10584545669992139,0.5063055468832391,0.04575311661606969,0.1563060765979496,0.9588747718152181,0.962322183775471,5,5,39015,1470,37545,7,59
ngram,3,stemfinal_differ,ngram3-src,0.9163722943722943,0.03598011940412688,0.35270565563468786,0.06570794966706864,0.5636666387376064,0.9050897276862189,0.693069306930693,5,5,4545,3150,1395,6,6
ngram,3,all,ngram3-src,0.686868686868687,0.18697998664721088,0.4959343434343434,0.01563382186424846,0.19093434343434357,0.9238428238428238,0.8939393939393939,5,5,43560,4620,38940,7,59
ngram,3,stemfinal_same,lm3-src,0.5610284656796931,0.09325622636469268,0.49137469358388514,0.04356675002972653,0.06965377209580798,0.9324631971241765,0.962322183775471,5,5,39015,1470,37545,7,59
ngram,3,stemfinal_differ,lm3-src,0.7297402597402598,0.1606849574592517,0.5669179723502304,0.1276121647426874,0.16282228739002935,0.7919740090968161,0.693069306930693,5,5,4545,3150,1395,6,6
ngram,3,all,lm3-src,0.6598484848484849,0.21234896383210183,0.5490036730945822,0.04539923532402055,0.1108448117539027,0.9054945054945055,0.8939393939393939,5,5,43560,4620,38940,7,59
ngram,1,stemfinal_same,ngram1-tgt,0.8162303452187054,0.18154600506097857,0.4612255595485258,0.042360780654750685,0.3550047856701796,0.9798363302588662,0.962322183775471,5,5,39015,1470,37545,7,59
ngram,1,stemfinal_differ,ngram1-tgt,0.6769307359307359,0.15109554785878931,0.5454043569333893,0.14332691479063117,0.13152637899734665,0.7212748144210133,0.693069306930693,5,5,4545,3150,1395,6,6
ngram,1,all,ngram1-tgt,0.7838383838383839,0.18142289645445162,0.5104292929292928,0.038951179124229844,0.27340909090909105,0.9295787545787546,0.8939393939393939,5,5,43560,4620,38940,7,59
ngram,1,stemfinal_same,lm1-tgt,0.7567470864213008,0.17781696077356124,0.42019421700424175,0.06406215097890126,0.3365528694170591,0.9078065045169593,0.962322183775471,5,5,39015,1470,37545,7,59
ngram,1,stemfinal_differ,lm1-tgt,0.6682077922077923,0.1194422341258182,0.4685577433319369,0.1342147111811507,0.19965004887585536,0.7316614094157954,0.693069306930693,5,5,4545,3150,1395,6,6
ngram,1,all,lm1-tgt,0.7569444444444443,0.18533992377704,0.4882449494949495,0.07643786934573264,0.2686994949494948,0.8765567765567767,0.8939393939393939,5,5,43560,4620,38940,7,59
ngram,2,stemfinal_same,ngram2-tgt,0.6858608347493834,0.10855259315961828,0.4944377834912279,0.017044641858194515,0.1914230512581555,0.9711599551322372,0.962322183775471,5,5,39015,1470,37545,7,59
ngram,2,stemfinal_differ,ngram2-tgt,0.6937705627705628,0.22032643341482133,0.3565637480798771,0.07622241620448136,0.3372068146906857,0.7107744895347234,0.693069306930693,5,5,4545,3150,1395,6,6
ngram,2,all,ngram2-tgt,0.699179292929293,0.15689827002235088,0.49142676767676774,0.03370120505744941,0.2077525252525253,0.9187728937728936,0.8939393939393939,5,5,43560,4620,38940,7,59
ngram,2,stemfinal_same,lm2-tgt,0.594628902090629,0.053171112793409,0.4665838151663717,0.046919019063176796,0.1280450869242573,0.9278552451991565,0.962322183775471,5,5,39015,1470,37545,7,59
ngram,2,stemfinal_differ,lm2-tgt,0.6367359307359308,0.11395993709461025,0.46795330261136714,0.09943584493546141,0.16878262812456368,0.6947867761435014,0.693069306930693,5,5,4545,3150,1395,6,6
ngram,2,all,lm2-tgt,0.6215277777777778,0.20749832663314555,0.45835858585858585,0.03388660724077854,0.16316919191919194,0.8613553113553113,0.8939393939393939,5,5,43560,4620,38940,7,59
ngram,3,stemfinal_same,ngram3-tgt,0.6138888888888888,0.07311415056160935,0.48775229042828955,0.01429871729649062,0.12613659846059927,0.9736049544050538,0.962322183775471,5,5,39015,1470,37545,7,59
ngram,3,stemfinal_differ,ngram3-tgt,0.7573766233766234,0.13360417648071096,0.37665823209049015,0.14319442501838828,0.3807183912861332,0.732991986138185,0.693069306930693,5,5,4545,3150,1395,6,6
ngram,3,all,ngram3-tgt,0.6236111111111111,0.12933456829307294,0.49069444444444443,0.006031680764057885,0.13291666666666668,0.9138278388278387,0.8939393939393939,5,5,43560,4620,38940,7,59
ngram,3,stemfinal_same,lm3-tgt,0.5442813623064695,0.08348818208424773,0.531285868697804,0.1095272109192499,0.012995493608665476,0.9211437493341164,0.962322183775471,5,5,39015,1470,37545,7,59
ngram,3,stemfinal_differ,lm3-tgt,0.7138441558441558,0.12600054584661152,0.4446811059907835,0.10289104156504901,0.26916304985337236,0.7582545139504203,0.693069306930693,5,5,4545,3150,1395,6,6
ngram,3,all,lm3-tgt,0.6493055555555556,0.20807854790623043,0.48465909090909093,0.03328130504936972,0.16464646464646465,0.9029304029304029,0.8939393939393939,5,5,43560,4620,38940,7,59
ngram,1,stemfinal_same,ngram1-all,0.8007041249372708,0.18859722337545082,0.5935727729369886,0.1168091827563516,0.2071313520002822,0.9578366629269238,0.962322183775471,5,5,39015,1470,37545,7,59
ngram,1,stemfinal_differ,ngram1-all,0.7881558441558442,0.19110788130577802,0.5151611227482196,0.12998877765035116,0.2729947214076246,0.8285706184653554,0.693069306930693,5,5,4545,3150,1395,6,6
ngram,1,all,ngram1-all,0.7939393939393938,0.1782363813721208,0.5051687327823691,0.06640451953914829,0.28877066115702477,0.9258291708291708,0.8939393939393939,5,5,43560,4620,38940,7,59
ngram,1,stemfinal_same,lm1-all,0.758074183512863,0.1793076306333027,0.41913837005482446,0.08163528731265374,0.3389358134580386,0.910203065021836,0.962322183775471,5,5,39015,1470,37545,7,59
ngram,1,stemfinal_differ,lm1-all,0.7025714285714286,0.14695452579985832,0.5012915793883536,0.11084114010985431,0.20127984918307507,0.7553339240356783,0.693069306930693,5,5,4545,3150,1395,6,6
ngram,1,all,lm1-all,0.7642045454545454,0.18682968641614334,0.42993663911845725,0.0654302416768424,0.33426790633608816,0.88996003996004,0.8939393939393939,5,5,43560,4620,38940,7,59
ngram,2,stemfinal_same,ngram2-all,0.7666656842816499,0.16343651043479077,0.48851579299067643,0.021691069757703508,0.2781498912909735,0.973044049958968,0.962322183775471,5,5,39015,1470,37545,7,59
ngram,2,stemfinal_differ,ngram2-all,0.892004329004329,0.10652033027187867,0.5462747102360005,0.2082464327815175,0.34572961876832853,0.8855086537893555,0.693069306930693,5,5,4545,3150,1395,6,6
ngram,2,all,ngram2-all,0.7655567033976125,0.19071151095757752,0.4823790174471993,0.01705922594079159,0.2831776859504132,0.9294605394605394,0.8939393939393939,5,5,43560,4620,38940,7,59
ngram,2,stemfinal_same,lm2-all,0.5583377760875952,0.093836154748123,0.4890461026348449,0.08648442043329502,0.06929167345275028,0.921244155655663,0.962322183775471,5,5,39015,1470,37545,7,59
ngram,2,stemfinal_differ,lm2-all,0.7197142857142856,0.1655131784629186,0.48377410976120655,0.05449256338061303,0.2359401759530791,0.7684248331265875,0.693069306930693,5,5,4545,3150,1395,6,6
ngram,2,all,lm2-all,0.5931060606060605,0.207655460533202,0.46212878787878786,0.07336139720990127,0.13097727272727266,0.8615434565434565,0.8939393939393939,5,5,43560,4620,38940,7,59
ngram,3,stemfinal_same,ngram3-all,0.6553945249597424,0.09701114392108726,0.527661045416974,0.05515640665208668,0.12773347954276837,0.967803674863743,0.962322183775471,5,5,39015,1470,37545,7,59
ngram,3,stemfinal_differ,ngram3-all,0.94395670995671,0.041076878021403106,0.5302541544477029,0.12918516318900156,0.41370255550900714,0.9316535333845275,0.693069306930693,5,5,4545,3150,1395,6,6
ngram,3,all,ngram3-all,0.7001388888888889,0.21657560158032013,0.5031067493112948,0.036632879653400986,0.19703213957759402,0.924037629037629,0.8939393939393939,5,5,43560,4620,38940,7,59
ngram,3,stemfinal_same,lm3-all,0.5586072656912717,0.08751071429873808,0.512744041284998,0.03666346264333726,0.04586322440627377,0.9331776422367758,0.962322183775471,5,5,39015,1470,37545,7,59
ngram,3,stemfinal_differ,lm3-all,0.7545714285714286,0.17586729691005368,0.4492928361960621,0.19297682359809973,0.3052785923753665,0.8127884694902239,0.693069306930693,5,5,4545,3150,1395,6,6
ngram,3,all,lm3-all,0.653219696969697,0.20505883945842648,0.5280064279155189,0.061221185864663144,0.12521326905417807,0.9073959373959374,0.8939393939393939,5,5,43560,4620,38940,7,59
