layer_type,layer_index,subset,probe_site,property,probe_type,balanced_accuracy,balanced_std,accuracy,std,majority_baseline,n_classes,n_samples
ngram,1,all,src-content,stem_final_match,ngram-linear,0.547188,0.119826,0.809288,0.069063,0.876377,2,43560
ngram,1,all,src-content,conjugation,ngram-linear,0.392735,0.154872,0.641817,0.039537,0.819444,3,43560
ngram,1,all,src-content,l_shaped,ngram-linear,0.495236,0.192658,0.759940,0.121562,0.893939,2,43560
ngram,1,all,src-content,conjugation,ngram-lm,0.446919,0.218883,0.496332,0.196493,0.819444,3,43560
ngram,1,all,src-content,l_shaped,ngram-lm,0.509722,0.195132,0.664602,0.068077,0.893939,2,43560
ngram,2,all,src-content,stem_final_match,ngram-linear,0.559557,0.058895,0.868195,0.024238,0.876377,2,43560
ngram,2,all,src-content,conjugation,ngram-linear,0.428742,0.141085,0.803322,0.043314,0.819444,3,43560
ngram,2,all,src-content,l_shaped,ngram-linear,0.554947,0.081476,0.867000,0.074983,0.893939,2,43560
ngram,2,all,src-content,conjugation,ngram-lm,0.525873,0.248165,0.696712,0.126584,0.819444,3,43560
ngram,2,all,src-content,l_shaped,ngram-lm,0.624116,0.250369,0.788661,0.089019,0.893939,2,43560
ngram,3,all,src-content,stem_final_match,ngram-linear,0.577890,0.080189,0.888320,0.016855,0.876377,2,43560
ngram,3,all,src-content,conjugation,ngram-linear,0.469238,0.159393,0.836189,0.043341,0.819444,3,43560
ngram,3,all,src-content,l_shaped,ngram-linear,0.530326,0.051103,0.887512,0.045352,0.893939,2,43560
ngram,3,all,src-content,conjugation,ngram-lm,0.567737,0.236987,0.812463,0.081898,0.819444,3,43560
ngram,3,all,src-content,l_shaped,ngram-lm,0.658035,0.239669,0.849151,0.070958,0.893939,2,43560
ngram,1,all,tgt-content,stem_final_match,ngram-linear,0.548276,0.097148,0.816580,0.065047,0.876377,2,43560
ngram,1,all,tgt-content,conjugation,ngram-linear,0.393470,0.162047,0.643681,0.040513,0.819444,3,43560
ngram,1,all,tgt-content,l_shaped,ngram-linear,0.491162,0.155079,0.781502,0.105460,0.893939,2,43560
ngram,1,all,tgt-content,conjugation,ngram-lm,0.437319,0.218766,0.499084,0.200318,0.819444,3,43560
ngram,1,all,tgt-content,l_shaped,ngram-lm,0.505366,0.188814,0.653571,0.070797,0.893939,2,43560
ngram,2,all,tgt-content,stem_final_match,ngram-linear,0.526219,0.035623,0.867533,0.022921,0.876377,2,43560
ngram,2,all,tgt-content,conjugation,ngram-linear,0.398485,0.129113,0.780128,0.035897,0.819444,3,43560
ngram,2,all,tgt-content,l_shaped,ngram-linear,0.546212,0.098585,0.889377,0.045833,0.893939,2,43560
ngram,2,all,tgt-content,conjugation,ngram-lm,0.528435,0.250447,0.703022,0.130254,0.819444,3,43560
ngram,2,all,tgt-content,l_shaped,ngram-lm,0.613826,0.251131,0.769597,0.091290,0.893939,2,43560
ngram,3,all,tgt-content,stem_final_match,ngram-linear,0.542796,0.043670,0.887088,0.015018,0.876377,2,43560
ngram,3,all,tgt-content,conjugation,ngram-linear,0.508081,0.187315,0.827564,0.029820,0.819444,3,43560
ngram,3,all,tgt-content,l_shaped,ngram-linear,0.542109,0.060205,0.890659,0.032297,0.893939,2,43560
ngram,3,all,tgt-content,conjugation,ngram-lm,0.547524,0.214036,0.813370,0.074833,0.819444,3,43560
ngram,3,all,tgt-content,l_shaped,ngram-lm,0.647980,0.241730,0.830861,0.072247,0.893939,2,43560
ngram,1,all,all-content,stem_final_match,ngram-linear,0.558497,0.124255,0.812843,0.064731,0.876377,2,43560
ngram,1,all,all-content,conjugation,ngram-linear,0.394183,0.144083,0.650876,0.035552,0.819444,3,43560
ngram,1,all,all-content,l_shaped,ngram-linear,0.484149,0.182132,0.752178,0.122723,0.893939,2,43560
ngram,1,all,all-content,conjugation,ngram-lm,0.453542,0.218470,0.497349,0.195828,0.819444,3,43560
ngram,1,all,all-content,l_shaped,ngram-lm,0.498598,0.196579,0.664426,0.071016,0.893939,2,43560
ngram,2,all,all-content,stem_final_match,ngram-linear,0.579581,0.091241,0.842750,0.025239,0.876377,2,43560
ngram,2,all,all-content,conjugation,ngram-linear,0.435223,0.184083,0.803228,0.035006,0.819444,3,43560
ngram,2,all,all-content,l_shaped,ngram-linear,0.592214,0.142640,0.862338,0.110853,0.893939,2,43560
ngram,2,all,all-content,conjugation,ngram-lm,0.523567,0.252012,0.691054,0.140153,0.819444,3,43560
ngram,2,all,all-content,l_shaped,ngram-lm,0.623674,0.254974,0.787952,0.098650,0.893939,2,43560
ngram,3,all,all-content,stem_final_match,ngram-linear,0.620852,0.117943,0.893956,0.016925,0.876377,2,43560
ngram,3,all,all-content,conjugation,ngram-linear,0.493829,0.202189,0.829615,0.048229,0.819444,3,43560
ngram,3,all,all-content,l_shaped,ngram-linear,0.550292,0.095280,0.889587,0.056786,0.893939,2,43560
ngram,3,all,all-content,conjugation,ngram-lm,0.568734,0.244221,0.804356,0.090838,0.819444,3,43560
ngram,3,all,all-content,l_shaped,ngram-lm,0.659835,0.241806,0.852521,0.075462,0.893939,2,43560
