layer_type,layer_index,subset,property,probe_type,balanced_accuracy,control_balanced_accuracy,selectivity,n_samples
encoder,0,all,stem_final_match,linear,0.5238078843742031,0.5010872129216646,0.022720671452538532,43560
encoder,0,all,conjugation,linear,0.3391083562901745,0.35638769513314966,-0.017279338842975167,43560
encoder,0,all,l_shaped,linear,0.5747348484848483,0.5257968319559229,0.04893801652892549,43560
encoder,0,stemfinal_same,l_shaped,linear,0.5773848702074509,0.5036421983830166,0.07374267182443428,38580
encoder,1,all,stem_final_match,linear,0.5241003014480322,0.4997690352053558,0.024331266242676397,43560
encoder,1,all,conjugation,linear,0.3243884297520661,0.3289616161616161,-0.004573186409550012,43560
encoder,1,all,l_shaped,linear,0.5792045454545455,0.5317004132231405,0.04750413223140493,43560
encoder,1,stemfinal_same,l_shaped,linear,0.4507435976095893,0.5153401300493353,-0.064596532439746,38580
encoder,2,all,stem_final_match,linear,0.4978938012583874,0.5004078146934866,-0.002514013435099216,43560
encoder,2,all,conjugation,linear,0.3102112029384757,0.36115316804407716,-0.05094196510560145,43560
encoder,2,all,l_shaped,linear,0.5735732323232323,0.4936932966023875,0.07987993572084484,43560
encoder,2,stemfinal_same,l_shaped,linear,0.46108599108669984,0.5356722148089157,-0.07458622372221585,38580
encoder,3,all,stem_final_match,linear,0.5165278066628545,0.5002532355506281,0.01627457111222641,43560
encoder,3,all,conjugation,linear,0.30812029384756656,0.38216767676767677,-0.0740473829201102,43560
encoder,3,all,l_shaped,linear,0.6034595959595959,0.4666239669421488,0.13683562901744706,43560
encoder,3,stemfinal_same,l_shaped,linear,0.5826315876529612,0.45191557587517533,0.13071601177778586,38580
decoder,0,all,stem_final_match,linear,0.5542312967586032,0.5001022482889066,0.05412904846969657,43560
decoder,0,all,conjugation,linear,0.34441505968778696,0.3212651974288338,0.023149862258953158,43560
decoder,0,all,l_shaped,linear,0.5458620293847567,0.5236795224977043,0.022182506887052367,43560
decoder,0,stemfinal_same,l_shaped,linear,0.5207054691424002,0.5090437349458135,0.011661734196586782,38580
decoder,1,all,stem_final_match,linear,0.5732680606213907,0.5000386125515186,0.07322944806987208,43560
decoder,1,all,conjugation,linear,0.3103149678604224,0.35624940312213044,-0.04593443526170804,43560
decoder,1,all,l_shaped,linear,0.5356370523415979,0.502361111111111,0.03327594123048683,43560
decoder,1,stemfinal_same,l_shaped,linear,0.4915576962165396,0.5105519467445584,-0.018994250528018786,38580
decoder,2,all,stem_final_match,linear,0.5956257748031603,0.5001995301477395,0.09542624465542071,43560
decoder,2,all,conjugation,linear,0.31283562901744716,0.35069623507805325,-0.037860606060606095,43560
decoder,2,all,l_shaped,linear,0.5437729568411387,0.49442171717171723,0.049351239669421454,43560
decoder,2,stemfinal_same,l_shaped,linear,0.5218612490215946,0.5084523920811972,0.013408856940397396,38580
decoder,3,all,stem_final_match,linear,0.6270456972217506,0.5001295422010374,0.12691615502071318,43560
decoder,3,all,conjugation,linear,0.30551790633608816,0.326576492194674,-0.021058585858585832,43560
decoder,3,all,l_shaped,linear,0.517757116620753,0.5110948117539026,0.006662304866850377,43560
decoder,3,stemfinal_same,l_shaped,linear,0.4905908312528018,0.5161381455531272,-0.02554731430032542,38580
