layer_type,layer_index,subset,property,probe_type,balanced_accuracy,control_balanced_accuracy,selectivity,n_samples
decoder,0,all,stem_final_match,linear,0.4924175510757475,0.49977328555627293,-0.007355734480525455,43560
decoder,0,all,conjugation,linear,0.3303774104683196,0.3864852157943067,-0.05610780532598714,43560
decoder,0,all,l_shaped,linear,0.4585881542699724,0.5213842975206611,-0.06279614325068866,43560
decoder,0,stemfinal_same,l_shaped,linear,0.5948984055137632,0.4667580770686344,0.12814032844512874,38580
decoder,1,all,stem_final_match,linear,0.5089168650344943,0.499750346247959,0.009166518786535294,43560
decoder,1,all,conjugation,linear,0.33329843893480254,0.27492837465564735,0.0583700642791552,43560
decoder,1,all,l_shaped,linear,0.6193813131313132,0.5154545454545454,0.10392676767676778,43560
decoder,1,stemfinal_same,l_shaped,linear,0.6501111335420593,0.49950183948628857,0.15060929405577073,38580
decoder,2,all,stem_final_match,linear,0.4619715175754635,0.499353434321824,-0.03738191674636049,43560
decoder,2,all,conjugation,linear,0.32771258034894396,0.3375303948576676,-0.009817814508723655,43560
decoder,2,all,l_shaped,linear,0.6292183195592287,0.536798668503214,0.09241965105601468,43560
decoder,2,stemfinal_same,l_shaped,linear,0.6460545319959766,0.4835347129837408,0.16251981901223583,38580
decoder,3,all,stem_final_match,linear,0.5158972076516556,0.49995602874445594,0.01594117890719965,43560
decoder,3,all,conjugation,linear,0.33363728191000913,0.3586804407713499,-0.025043158861340786,43560
decoder,3,all,l_shaped,linear,0.6151549586776859,0.4545596877869606,0.16059527089072528,43560
decoder,3,stemfinal_same,l_shaped,linear,0.6744834860998956,0.49019768592032814,0.18428580017956747,38580
