layer_type,layer_index,subset,property,probe_type,balanced_accuracy,control_balanced_accuracy,selectivity,n_samples
decoder,0,all,stem_final_match,linear,0.5513060805929085,0.5004717405928576,0.05083434000005094,43560
decoder,0,all,conjugation,linear,0.3741258034894399,0.3481786960514233,0.025947107438016592,43560
decoder,0,all,l_shaped,linear,0.524090909090909,0.4864155188246097,0.03767539026629935,43560
decoder,0,stemfinal_same,l_shaped,linear,0.6205209723336234,0.5224048987095297,0.09811607362409369,38580
decoder,1,all,stem_final_match,linear,0.6620441572984566,0.5000378977376625,0.16200625956079406,43560
decoder,1,all,conjugation,linear,0.4396657483930211,0.28538585858585863,0.15427988980716245,43560
decoder,1,all,l_shaped,linear,0.7108080808080809,0.5195105601469238,0.19129752066115713,43560
decoder,1,stemfinal_same,l_shaped,linear,0.7279460866259604,0.5255719734220459,0.20237411320391452,38580
decoder,2,all,stem_final_match,linear,0.6307028502910096,0.5000924357157046,0.13061041457530498,43560
decoder,2,all,conjugation,linear,0.34825528007346185,0.3476244260789715,0.0006308539944903657,43560
decoder,2,all,l_shaped,linear,0.6951228191000918,0.5083287419651057,0.18679407713498608,43560
decoder,2,stemfinal_same,l_shaped,linear,0.648742897703724,0.4828209002461808,0.16592199745754316,38580
decoder,3,all,stem_final_match,linear,0.6176675418020379,0.5004917459827815,0.11717579581925641,43560
decoder,3,all,conjugation,linear,0.3308356290174472,0.3464257116620753,-0.015590082644628134,43560
decoder,3,all,l_shaped,linear,0.7395752984389349,0.48115174471992644,0.25842355371900844,43560
decoder,3,stemfinal_same,l_shaped,linear,0.6554095990341178,0.4637197420731737,0.1916898569609441,38580
