layer_type,layer_index,subset,property,probe_type,balanced_accuracy,control_balanced_accuracy,selectivity,n_samples
encoder,0,all,stem_final_match,linear,0.5824694245658664,0.4999739368846371,0.08249548768122927,43560
encoder,0,all,conjugation,linear,0.3547474747474747,0.30179981634527087,0.052947658402203834,43560
encoder,0,all,l_shaped,linear,0.7601997245179064,0.5797640036730944,0.18043572084481196,43560
encoder,0,stemfinal_same,l_shaped,linear,0.594377571583862,0.4856037030787362,0.10877386850512577,38580
encoder,1,all,stem_final_match,linear,0.6212974797970294,0.5004633673724378,0.12083411242459163,43560
encoder,1,all,conjugation,linear,0.35021120293847563,0.30561781450872355,0.04459338842975208,43560
encoder,1,all,l_shaped,linear,0.7559722222222222,0.5316179981634528,0.22435422405876937,43560
encoder,1,stemfinal_same,l_shaped,linear,0.6200512370077587,0.49043621004956106,0.1296150269581976,38580
encoder,2,all,stem_final_match,linear,0.6576389556145584,0.5006152510602461,0.15702370455431236,43560
encoder,2,all,conjugation,linear,0.32003673094582186,0.3244446280991735,-0.004407897153351659,43560
encoder,2,all,l_shaped,linear,0.7382495408631773,0.5388627180899908,0.19938682277318653,43560
encoder,2,stemfinal_same,l_shaped,linear,0.6231163515884577,0.53981933094576,0.08329702064269773,38580
encoder,3,all,stem_final_match,linear,0.6604925467324648,0.49989313429486637,0.16059941243759845,43560
encoder,3,all,conjugation,linear,0.2852047750229568,0.380099173553719,-0.0948943985307622,43560
encoder,3,all,l_shaped,linear,0.7085996326905418,0.4700812672176308,0.238518365472911,43560
encoder,3,stemfinal_same,l_shaped,linear,0.5942489889997424,0.46618680543712604,0.1280621835626164,38580
decoder,0,all,stem_final_match,linear,0.7126244515391913,0.5002337835840514,0.21239066795513994,43560
decoder,0,all,conjugation,linear,0.37381083562901746,0.3475737373737373,0.026237098255280145,43560
decoder,0,all,l_shaped,linear,0.7891310835629017,0.48377938475665755,0.3053516988062442,43560
decoder,0,stemfinal_same,l_shaped,linear,0.734204096298958,0.45390404916138943,0.28030004713756856,38580
decoder,1,all,stem_final_match,linear,0.7264760375826672,0.5000072728455305,0.22646876473713673,43560
decoder,1,all,conjugation,linear,0.41213223140495864,0.35303856749311296,0.05909366391184567,43560
decoder,1,all,l_shaped,linear,0.7561604683195592,0.5031117998163452,0.25304866850321395,43560
decoder,1,stemfinal_same,l_shaped,linear,0.7844767136114006,0.5023824975181397,0.2820942160932609,38580
decoder,2,all,stem_final_match,linear,0.7374820660828625,0.500007394702299,0.23747467138056344,43560
decoder,2,all,conjugation,linear,0.4235280073461891,0.34286097337006427,0.08066703397612485,43560
decoder,2,all,l_shaped,linear,0.8063498622589531,0.47217011019283744,0.33417975206611567,43560
decoder,2,stemfinal_same,l_shaped,linear,0.8324306502699657,0.4716727158741122,0.36075793439585346,38580
decoder,3,all,stem_final_match,linear,0.7350317914821716,0.5002267352079132,0.2348050562742584,43560
decoder,3,all,conjugation,linear,0.4618365472910928,0.30968209366391186,0.15215445362718094,43560
decoder,3,all,l_shaped,linear,0.8269696969696969,0.4830826446280992,0.3438870523415977,43560
decoder,3,stemfinal_same,l_shaped,linear,0.8465230790844396,0.5060683957422916,0.340454683342148,38580
