layer_type,layer_index,subset,property,probe_type,balanced_accuracy,control_balanced_accuracy,selectivity,n_samples
decoder,0,all,stem_final_match,linear,0.5462597138272324,0.49945719836165736,0.04680251546557501,43560
decoder,0,all,conjugation,linear,0.40564279155188243,0.33880367309458226,0.06683911845730017,43560
decoder,0,all,l_shaped,linear,0.6206049127640036,0.5290128558310376,0.09159205693296602,43560
decoder,0,stemfinal_same,l_shaped,linear,0.7360831620424569,0.4904838827433495,0.24559927929910746,38580
decoder,1,all,stem_final_match,linear,0.5942838509557509,0.500021802865769,0.09426204808998184,43560
decoder,1,all,conjugation,linear,0.3989164370982553,0.2933979797979798,0.10551845730027548,43560
decoder,1,all,l_shaped,linear,0.736266069788797,0.5348549127640038,0.20141115702479329,43560
decoder,1,stemfinal_same,l_shaped,linear,0.726281537198285,0.5381490097681587,0.18813252743012632,38580
decoder,2,all,stem_final_match,linear,0.621311694415508,0.49987559702526296,0.12143609739024508,43560
decoder,2,all,conjugation,linear,0.33448393021120293,0.36555886134067944,-0.031074931129476513,43560
decoder,2,all,l_shaped,linear,0.7232724977043159,0.5205576216712581,0.20271487603305782,43560
decoder,2,stemfinal_same,l_shaped,linear,0.7416887940559646,0.5223365651483567,0.21935222890760786,38580
decoder,3,all,stem_final_match,linear,0.6176884706055121,0.5003425344321755,0.11734593617333666,43560
decoder,3,all,conjugation,linear,0.3408494031221304,0.3533015610651974,-0.012452157943066977,43560
decoder,3,all,l_shaped,linear,0.7704166666666667,0.47984113865932054,0.2905755280073462,43560
decoder,3,stemfinal_same,l_shaped,linear,0.7128370663153272,0.4596724207858041,0.25316464552952306,38580
