layer_type,layer_index,subset,property,probe_type,balanced_accuracy,control_balanced_accuracy,selectivity,n_samples
encoder,0,all,stem_final_match,linear,0.7645967540442913,0.500144779756069,0.2644519742882223,43560
encoder,0,all,conjugation,linear,0.6006372819100092,0.29867107438016527,0.30196620752984393,43560
encoder,0,all,l_shaped,linear,0.7927559687786961,0.5373381542699724,0.2554178145087237,43560
encoder,0,stemfinal_same,l_shaped,linear,0.735530642811462,0.4949343555073952,0.2405962873040668,39015
encoder,1,all,stem_final_match,linear,0.7195825834278485,0.5001825094430801,0.21940007398476846,43560
encoder,1,all,conjugation,linear,0.5885895316804407,0.28896143250688705,0.29962809917355365,43560
encoder,1,all,l_shaped,linear,0.8080383379247016,0.4817001836547291,0.3263381542699725,43560
encoder,1,stemfinal_same,l_shaped,linear,0.7602883969213993,0.53043238947441,0.2298560074469893,39015
encoder,2,all,stem_final_match,linear,0.7209554444974389,0.5002805240674769,0.22067492042996195,43560
encoder,2,all,conjugation,linear,0.6344242424242423,0.35290449954086317,0.28151974288337916,43560
encoder,2,all,l_shaped,linear,0.8148278236914601,0.5030612947658402,0.31176652892561996,43560
encoder,2,stemfinal_same,l_shaped,linear,0.8136444460791665,0.4605510714230574,0.3530933746561091,39015
encoder,3,all,stem_final_match,linear,0.7035413689171068,0.5000436342400268,0.20349773467708,43560
encoder,3,all,conjugation,linear,0.6257190082644628,0.3376130394857667,0.2881059687786961,43560
encoder,3,all,l_shaped,linear,0.8174735996326905,0.5197853535353535,0.297688246097337,43560
encoder,3,stemfinal_same,l_shaped,linear,0.8155732545648826,0.4564227244064213,0.3591505301584613,39015
decoder,0,all,stem_final_match,linear,0.6883888935116769,0.49980206822703616,0.1885868252846407,43560
decoder,0,all,conjugation,linear,0.6140128558310376,0.29787878787878785,0.31613406795224974,43560
decoder,0,all,l_shaped,linear,0.8262913223140496,0.5386788337924701,0.2876124885215795,43560
decoder,0,stemfinal_same,l_shaped,linear,0.7750769092728482,0.45627045006568573,0.3188064592071625,39015
decoder,1,all,stem_final_match,linear,0.7135650989542089,0.4999602315413223,0.21360486741288665,43560
decoder,1,all,conjugation,linear,0.7003516988062443,0.3477002754820937,0.35265142332415056,43560
decoder,1,all,l_shaped,linear,0.8910938934802572,0.4844141414141414,0.40667975206611584,43560
decoder,1,stemfinal_same,l_shaped,linear,0.751609791604321,0.47787350695220276,0.2737362846521182,39015
decoder,2,all,stem_final_match,linear,0.7309263158826245,0.49987259698881725,0.23105371889380721,43560
decoder,2,all,conjugation,linear,0.728168044077135,0.30322699724517904,0.42494104683195594,43560
decoder,2,all,l_shaped,linear,0.8917745638200184,0.4794031221303949,0.41237144168962353,43560
decoder,2,stemfinal_same,l_shaped,linear,0.7969455499422742,0.5052621615853562,0.291683388356918,39015
decoder,3,all,stem_final_match,linear,0.7478150443364348,0.5000663700481407,0.24774867428829406,43560
decoder,3,all,conjugation,linear,0.6832561983471075,0.3207987144168962,0.36245748393021127,43560
decoder,3,all,l_shaped,linear,0.8710824150596878,0.5016489898989899,0.3694334251606979,43560
decoder,3,stemfinal_same,l_shaped,linear,0.7901462018611926,0.5409418933868313,0.24920430847436126,39015
