layer_type,layer_index,subset,property,probe_type,balanced_accuracy,control_balanced_accuracy,selectivity,n_samples
decoder,0,all,stem_final_match,linear,0.678642194320165,0.49990668647069764,0.1787355078494674,43120
decoder,0,all,conjugation,linear,0.5010994401492935,0.30064622174827454,0.20045321840101898,43120
decoder,0,all,l_shaped,linear,0.7206733781666937,0.47237237346729327,0.24830100469940047,43120
decoder,0,stemfinal_same,l_shaped,linear,0.8039945396670867,0.4878475821049819,0.31614695756210476,38727
decoder,1,all,stem_final_match,linear,0.6662366171269212,0.4995305057969029,0.16670611133001828,43120
decoder,1,all,conjugation,linear,0.4957833170413816,0.35681340087087887,0.13896991617050275,43120
decoder,1,all,l_shaped,linear,0.8033215173121591,0.5585091692324313,0.24481234807972774,43120
decoder,1,stemfinal_same,l_shaped,linear,0.7994868447430316,0.43164616891222185,0.3678406758308097,38727
decoder,2,all,stem_final_match,linear,0.6854767258462917,0.5000667606973549,0.18540996514893682,43120
decoder,2,all,conjugation,linear,0.519208625847922,0.38441256257590567,0.13479606327201638,43120
decoder,2,all,l_shaped,linear,0.8166366877329445,0.5229567331064657,0.2936799546264788,43120
decoder,2,stemfinal_same,l_shaped,linear,0.8136758222224365,0.47036788903049337,0.34330793319194314,38727
decoder,3,all,stem_final_match,linear,0.6596656135112282,0.5008868669556032,0.15877874655562496,43120
decoder,3,all,conjugation,linear,0.573287182677212,0.37565927900707957,0.19762790367013244,43120
decoder,3,all,l_shaped,linear,0.7597830578512397,0.4855825906120024,0.2742004672392373,43120
decoder,3,stemfinal_same,l_shaped,linear,0.7737371074245625,0.4569728095431528,0.3167642978814097,38727
