layer_type,layer_index,subset,property,probe_type,balanced_accuracy,control_balanced_accuracy,selectivity,n_samples
encoder,0,all,stem_final_match,linear,0.7118571473891179,0.49986389230807315,0.21199325508104472,43560
encoder,0,all,conjugation,linear,0.6035775941230487,0.30478494031221304,0.29879265381083564,43560
encoder,0,all,l_shaped,linear,0.7894983930211203,0.5253709825528008,0.26412741046831956,43560
encoder,0,stemfinal_same,l_shaped,linear,0.7982338620715889,0.486653677784281,0.3115801842873079,39015
encoder,1,all,stem_final_match,linear,0.7261026523476588,0.5004093066988247,0.22569334564883414,43560
encoder,1,all,conjugation,linear,0.5970422405876952,0.29563305785123967,0.3014091827364555,43560
encoder,1,all,l_shaped,linear,0.8685215794306703,0.48484618916437106,0.38367539026629927,43560
encoder,1,stemfinal_same,l_shaped,linear,0.8271117754864878,0.5414318654810216,0.2856799100054662,39015
encoder,2,all,stem_final_match,linear,0.6325384603668949,0.5003323635424906,0.13220609682440432,43560
encoder,2,all,conjugation,linear,0.6578494031221305,0.325121028466483,0.3327283746556475,43560
encoder,2,all,l_shaped,linear,0.8713636363636365,0.5073845270890726,0.3639791092745639,43560
encoder,2,stemfinal_same,l_shaped,linear,0.8549463248703331,0.4698259137595261,0.38512041111080697,39015
encoder,3,all,stem_final_match,linear,0.6581671701952803,0.49918062735334245,0.1589865428419378,43560
encoder,3,all,conjugation,linear,0.7205289256198347,0.34171386593204767,0.37881505968778706,43560
encoder,3,all,l_shaped,linear,0.8640530303030303,0.5356143250688705,0.32843870523415974,43560
encoder,3,stemfinal_same,l_shaped,linear,0.8623545969797254,0.49706721804978715,0.36528737892993823,39015
decoder,0,all,stem_final_match,linear,0.6754404906967035,0.5009753013426905,0.174465189354013,43560
decoder,0,all,conjugation,linear,0.6748172635445362,0.329097520661157,0.3457197428833792,43560
decoder,0,all,l_shaped,linear,0.8090277777777777,0.5553617998163453,0.2536659779614324,43560
decoder,0,stemfinal_same,l_shaped,linear,0.6708647519624085,0.4545143838705229,0.21635036809188557,39015
decoder,1,all,stem_final_match,linear,0.631520700788413,0.5001531131370013,0.13136758765141177,43560
decoder,1,all,conjugation,linear,0.6918393021120293,0.3271665748393021,0.36467272727272715,43560
decoder,1,all,l_shaped,linear,0.8901836547291093,0.4774517906336088,0.4127318640955005,43560
decoder,1,stemfinal_same,l_shaped,linear,0.7655349821653195,0.4507542522303841,0.31478072993493533,39015
decoder,2,all,stem_final_match,linear,0.6387238031761658,0.5001567451269672,0.13856705804919867,43560
decoder,2,all,conjugation,linear,0.6355840220385675,0.28395518824609733,0.3516288337924701,43560
decoder,2,all,l_shaped,linear,0.8578156565656565,0.47908677685950424,0.37872887970615227,43560
decoder,2,stemfinal_same,l_shaped,linear,0.7486035674658855,0.4887941068593594,0.2598094606065261,39015
decoder,3,all,stem_final_match,linear,0.6629581349512332,0.4996770500647978,0.16328108488643545,43560
decoder,3,all,conjugation,linear,0.6771487603305785,0.32363030303030305,0.3535184573002754,43560
decoder,3,all,l_shaped,linear,0.869415748393021,0.5054368686868687,0.3639788797061524,43560
decoder,3,stemfinal_same,l_shaped,linear,0.7459510851307375,0.5163529460794118,0.22959813905132564,39015
