layer_type,layer_index,subset,property,probe_type,balanced_accuracy,control_balanced_accuracy,selectivity,n_samples
encoder,0,all,stem_final_match,linear,0.7262088548773604,0.4992933842052679,0.2269154706720925,43560
encoder,0,all,conjugation,linear,0.4872720782672936,0.36838383838383837,0.1188882398834552,43560
encoder,0,all,l_shaped,linear,0.7368422865013773,0.460514233241506,0.2763280532598713,43560
encoder,0,stemfinal_same,l_shaped,linear,0.6418181705655307,0.5607641525071644,0.08105401805836632,38175
encoder,1,all,stem_final_match,linear,0.758949856344514,0.5002482568438285,0.2587015995006855,43560
encoder,1,all,conjugation,linear,0.5038092476369989,0.3347952249770431,0.16901402265995574,43560
encoder,1,all,l_shaped,linear,0.6930440771349862,0.509311753902663,0.18373232323232314,43560
encoder,1,stemfinal_same,l_shaped,linear,0.6296249801212774,0.46319460270388113,0.1664303774173963,38175
encoder,2,all,stem_final_match,linear,0.7496921257275785,0.4996892413101753,0.2500028844174032,43560
encoder,2,all,conjugation,linear,0.6032147586597347,0.3688264462809917,0.23438831237874302,43560
encoder,2,all,l_shaped,linear,0.7068767217630854,0.48808769513314976,0.2187890266299356,43560
encoder,2,stemfinal_same,l_shaped,linear,0.6353377679141015,0.4877585358213984,0.14757923209270307,38175
encoder,3,all,stem_final_match,linear,0.8023425252859798,0.4998955417469168,0.302446983539063,43560
encoder,3,all,conjugation,linear,0.6249658443629735,0.32024426078971535,0.3047215835732582,43560
encoder,3,all,l_shaped,linear,0.7126010101010101,0.48517722681359043,0.22742378328741963,43560
encoder,3,stemfinal_same,l_shaped,linear,0.625308984824918,0.45009895442564785,0.1752100303992702,38175
decoder,0,all,stem_final_match,linear,0.7337339478465548,0.49979969873797386,0.2339342491085809,43560
decoder,0,all,conjugation,linear,0.5692871780000966,0.300465564738292,0.26882161326180465,43560
decoder,0,all,l_shaped,linear,0.7672394398530762,0.49951744719926544,0.26772199265381075,43560
decoder,0,stemfinal_same,l_shaped,linear,0.6596304467397156,0.46827242557951526,0.19135802116020034,38175
decoder,1,all,stem_final_match,linear,0.7314879199693219,0.4998778225222894,0.23161009744703254,43560
decoder,1,all,conjugation,linear,0.5901575711346878,0.2863516988062443,0.3038058723284435,43560
decoder,1,all,l_shaped,linear,0.7329924242424244,0.4877180899908173,0.2452743342516071,43560
decoder,1,stemfinal_same,l_shaped,linear,0.6984117689580155,0.48377679015592656,0.21463497880208893,38175
decoder,2,all,stem_final_match,linear,0.734300225201719,0.4997704408939631,0.2345297843077559,43560
decoder,2,all,conjugation,linear,0.633242404730235,0.34511753902662995,0.288124865703605,43560
decoder,2,all,l_shaped,linear,0.7694651056014693,0.5146161616161616,0.25484894398530766,43560
decoder,2,stemfinal_same,l_shaped,linear,0.7364164028218043,0.5184225879052101,0.2179938149165942,38175
decoder,3,all,stem_final_match,linear,0.7830701844737727,0.49997748259816976,0.283092701875603,43560
decoder,3,all,conjugation,linear,0.6562539958712208,0.3498356290174472,0.3064183668537736,43560
decoder,3,all,l_shaped,linear,0.7513900367309457,0.46711340679522495,0.2842766299357208,43560
decoder,3,stemfinal_same,l_shaped,linear,0.7338756485483214,0.5116911452604076,0.22218450328791384,38175
