layer_type,layer_index,subset,property,probe_type,balanced_accuracy,control_balanced_accuracy,selectivity,n_samples
decoder,0,all,stem_final_match,linear,0.657537374536889,0.4996204043862285,0.15791697015066047,43560
decoder,0,all,conjugation,linear,0.5376592790516235,0.3556088154269973,0.18205046362462618,43560
decoder,0,all,l_shaped,linear,0.7207610192837466,0.502851469237833,0.2179095500459136,43560
decoder,0,stemfinal_same,l_shaped,linear,0.6661504136180051,0.522664422120278,0.14348599149772712,38175
decoder,1,all,stem_final_match,linear,0.6711515951095571,0.500566753990167,0.1705848411193901,43560
decoder,1,all,conjugation,linear,0.6421418100887624,0.3116565656565657,0.3304852444321967,43560
decoder,1,all,l_shaped,linear,0.7763487144168962,0.4988650137741047,0.27748370064279154,43560
decoder,1,stemfinal_same,l_shaped,linear,0.6892578865430311,0.49858955557528056,0.19066833096775054,38175
decoder,2,all,stem_final_match,linear,0.6618328321201377,0.49991099789260646,0.1619218342275312,43560
decoder,2,all,conjugation,linear,0.5750823516450727,0.32104315886134066,0.25403919278373205,43560
decoder,2,all,l_shaped,linear,0.7904040404040404,0.48665932047750227,0.3037447199265382,43560
decoder,2,stemfinal_same,l_shaped,linear,0.678642267095774,0.5015792652673244,0.17706300182844958,38175
decoder,3,all,stem_final_match,linear,0.6763861139728916,0.50059998725365,0.17578612671924165,43560
decoder,3,all,conjugation,linear,0.6319597547587978,0.31306795224977046,0.3188918025090274,43560
decoder,3,all,l_shaped,linear,0.7760732323232323,0.4884097796143251,0.28766345270890725,43560
decoder,3,stemfinal_same,l_shaped,linear,0.7213370714581624,0.4494597445360816,0.2718773269220808,38175
