layer_type,layer_index,subset,probe_site,property,probe_type,balanced_accuracy,balanced_std,accuracy,std,control_balanced_accuracy,control_balanced_std,selectivity,control_accuracy,control_std,selectivity_raw,control_mode,n_controls,chance,majority_baseline,n_classes,n_samples
encoder,0,all,content-pool,stem_final_match,linear,0.612263,0.122232,0.849162,0.081035,0.500359,0.000774,0.111905,0.884862,0.011932,-0.035701,sample,5,0.500000,0.895661,2,43560
encoder,0,all,content-pool,conjugation,linear,0.595389,0.171565,0.705250,0.106712,0.337417,0.059111,0.257972,0.598861,0.058866,0.106389,group,5,0.333333,0.787879,3,43560
encoder,0,all,content-pool,l_shaped,linear,0.807402,0.207902,0.912622,0.062467,0.509939,0.043590,0.297463,0.812172,0.034280,0.100450,group,5,0.500000,0.893939,2,43560
encoder,1,all,content-pool,stem_final_match,linear,0.561740,0.138434,0.850652,0.080114,0.499770,0.000287,0.061970,0.890035,0.007906,-0.039383,sample,5,0.500000,0.895661,2,43560
encoder,1,all,content-pool,conjugation,linear,0.619299,0.190846,0.724883,0.123473,0.326669,0.046494,0.292631,0.641075,0.017588,0.083809,group,5,0.333333,0.787879,3,43560
encoder,1,all,content-pool,l_shaped,linear,0.813144,0.205327,0.919389,0.061523,0.474321,0.052003,0.338823,0.790657,0.038308,0.128732,group,5,0.500000,0.893939,2,43560
encoder,2,all,content-pool,stem_final_match,linear,0.595360,0.098820,0.854862,0.025894,0.499988,0.000024,0.095372,0.895535,0.000249,-0.040673,sample,5,0.500000,0.895661,2,43560
encoder,2,all,content-pool,conjugation,linear,0.628992,0.199051,0.736430,0.123681,0.418500,0.081190,0.210492,0.667178,0.029201,0.069252,group,5,0.333333,0.787879,3,43560
encoder,2,all,content-pool,l_shaped,linear,0.800202,0.193895,0.902989,0.056806,0.514737,0.088812,0.285465,0.808803,0.046846,0.094186,group,5,0.500000,0.893939,2,43560
encoder,3,all,content-pool,stem_final_match,linear,0.604063,0.118154,0.857438,0.020590,0.499998,0.000013,0.104065,0.895549,0.000204,-0.038111,sample,5,0.500000,0.895661,2,43560
encoder,3,all,content-pool,conjugation,linear,0.636181,0.206345,0.767166,0.099256,0.302448,0.078195,0.333732,0.585063,0.065456,0.182103,group,5,0.333333,0.787879,3,43560
encoder,3,all,content-pool,l_shaped,linear,0.803169,0.194591,0.902319,0.057195,0.528304,0.030712,0.274865,0.799529,0.031505,0.102791,group,5,0.500000,0.893939,2,43560
decoder,0,all,content-pool,stem_final_match,linear,0.561632,0.137356,0.812154,0.058457,0.500044,0.000118,0.061588,0.894817,0.000971,-0.082663,sample,5,0.500000,0.895661,2,43560
decoder,0,all,content-pool,conjugation,linear,0.533464,0.100190,0.697739,0.089223,0.395864,0.060317,0.137599,0.659244,0.029569,0.038495,group,5,0.333333,0.787879,3,43560
decoder,0,all,content-pool,l_shaped,linear,0.780761,0.179204,0.910753,0.053738,0.498493,0.042709,0.282268,0.814727,0.014038,0.096026,group,5,0.500000,0.893939,2,43560
decoder,1,all,content-pool,stem_final_match,linear,0.546619,0.061628,0.847214,0.011726,0.500071,0.000328,0.046548,0.889860,0.005024,-0.042646,sample,5,0.500000,0.895661,2,43560
decoder,1,all,content-pool,conjugation,linear,0.510802,0.160406,0.703417,0.096810,0.300039,0.026014,0.210763,0.641688,0.033505,0.061729,group,5,0.333333,0.787879,3,43560
decoder,1,all,content-pool,l_shaped,linear,0.764614,0.146409,0.896647,0.074634,0.470825,0.018375,0.293789,0.805628,0.018961,0.091019,group,5,0.500000,0.893939,2,43560
decoder,2,all,content-pool,stem_final_match,linear,0.645044,0.051656,0.894541,0.013651,0.499786,0.000359,0.145258,0.894452,0.001751,0.000090,sample,5,0.500000,0.895661,2,43560
decoder,2,all,content-pool,conjugation,linear,0.512924,0.175514,0.685676,0.127880,0.336630,0.084799,0.176294,0.614485,0.066283,0.071191,group,5,0.333333,0.787879,3,43560
decoder,2,all,content-pool,l_shaped,linear,0.800795,0.175375,0.917188,0.061817,0.442483,0.025581,0.358312,0.786221,0.038418,0.130967,group,5,0.500000,0.893939,2,43560
decoder,3,all,content-pool,stem_final_match,linear,0.651524,0.052362,0.901682,0.018369,0.500131,0.000517,0.151393,0.893891,0.002074,0.007791,sample,5,0.500000,0.895661,2,43560
decoder,3,all,content-pool,conjugation,linear,0.565219,0.191275,0.772016,0.125677,0.325103,0.043209,0.240115,0.651351,0.038369,0.120665,group,5,0.333333,0.787879,3,43560
decoder,3,all,content-pool,l_shaped,linear,0.805316,0.173553,0.924442,0.058694,0.478397,0.058067,0.326919,0.805805,0.026546,0.118637,group,5,0.500000,0.893939,2,43560
