layer_type,layer_index,subset,probe_site,property,probe_type,balanced_accuracy,balanced_std,accuracy,std,control_balanced_accuracy,control_balanced_std,selectivity,control_accuracy,control_std,selectivity_raw,control_mode,n_controls,chance,majority_baseline,n_classes,n_samples
encoder,0,all,content-pool,stem_final_match,linear,0.603342,0.134732,0.856603,0.092038,0.500039,0.000233,0.103303,0.890204,0.005761,-0.033601,sample,5,0.500000,0.895661,2,43560
encoder,0,all,content-pool,conjugation,linear,0.558299,0.069500,0.731007,0.047236,0.339558,0.036320,0.218741,0.606016,0.022687,0.124992,group,5,0.333333,0.787879,3,43560
encoder,0,all,content-pool,l_shaped,linear,0.817477,0.182768,0.939957,0.024631,0.536153,0.074889,0.281324,0.808234,0.028675,0.131722,group,5,0.500000,0.893939,2,43560
encoder,1,all,content-pool,stem_final_match,linear,0.677755,0.135010,0.897174,0.012893,0.499991,0.000017,0.177764,0.895583,0.000172,0.001591,sample,5,0.500000,0.895661,2,43560
encoder,1,all,content-pool,conjugation,linear,0.541011,0.152353,0.711012,0.052435,0.324938,0.064183,0.216073,0.622745,0.035784,0.088267,group,5,0.333333,0.787879,3,43560
encoder,1,all,content-pool,l_shaped,linear,0.797161,0.180382,0.926064,0.039111,0.467483,0.020263,0.329678,0.789924,0.024200,0.136140,group,5,0.500000,0.893939,2,43560
encoder,2,all,content-pool,stem_final_match,linear,0.618134,0.069113,0.893088,0.016143,0.499998,0.000005,0.118137,0.895657,0.000010,-0.002569,sample,5,0.500000,0.895661,2,43560
encoder,2,all,content-pool,conjugation,linear,0.641396,0.243561,0.777844,0.117476,0.342093,0.050091,0.299302,0.611701,0.040091,0.166143,group,5,0.333333,0.787879,3,43560
encoder,2,all,content-pool,l_shaped,linear,0.800078,0.177029,0.933849,0.032843,0.477517,0.037038,0.322561,0.785293,0.046485,0.148556,group,5,0.500000,0.893939,2,43560
encoder,3,all,content-pool,stem_final_match,linear,0.606785,0.082844,0.859055,0.064995,0.500034,0.000360,0.106750,0.894737,0.001150,-0.035682,sample,5,0.500000,0.895661,2,43560
encoder,3,all,content-pool,conjugation,linear,0.627273,0.235111,0.779489,0.136897,0.312510,0.037989,0.314763,0.615983,0.025698,0.163506,group,5,0.333333,0.787879,3,43560
encoder,3,all,content-pool,l_shaped,linear,0.812916,0.164683,0.931497,0.041967,0.517537,0.039356,0.295378,0.818563,0.033976,0.112934,group,5,0.500000,0.893939,2,43560
decoder,0,all,content-pool,stem_final_match,linear,0.560298,0.179265,0.826651,0.084166,0.500057,0.000125,0.060241,0.895237,0.000526,-0.068586,sample,5,0.500000,0.895661,2,43560
decoder,0,all,content-pool,conjugation,linear,0.602827,0.162944,0.774745,0.117067,0.407699,0.077494,0.195129,0.702234,0.034155,0.072511,group,5,0.333333,0.787879,3,43560
decoder,0,all,content-pool,l_shaped,linear,0.723362,0.160348,0.900744,0.064344,0.497751,0.042035,0.225611,0.827671,0.023542,0.073073,group,5,0.500000,0.893939,2,43560
decoder,1,all,content-pool,stem_final_match,linear,0.572337,0.090318,0.863704,0.063585,0.499945,0.000072,0.072392,0.895133,0.000884,-0.031429,sample,5,0.500000,0.895661,2,43560
decoder,1,all,content-pool,conjugation,linear,0.646514,0.150407,0.780941,0.106587,0.347752,0.056924,0.298763,0.669483,0.017358,0.111458,group,5,0.333333,0.787879,3,43560
decoder,1,all,content-pool,l_shaped,linear,0.851818,0.181930,0.937539,0.053988,0.474037,0.061842,0.377781,0.806545,0.036074,0.130994,group,5,0.500000,0.893939,2,43560
decoder,2,all,content-pool,stem_final_match,linear,0.545134,0.044257,0.860847,0.025234,0.499968,0.000036,0.045166,0.895499,0.000273,-0.034652,sample,5,0.500000,0.895661,2,43560
decoder,2,all,content-pool,conjugation,linear,0.448426,0.161014,0.711758,0.096273,0.339025,0.052711,0.109401,0.638475,0.036198,0.073284,group,5,0.333333,0.787879,3,43560
decoder,2,all,content-pool,l_shaped,linear,0.871553,0.209532,0.947288,0.063439,0.472257,0.025369,0.399296,0.812246,0.041018,0.135041,group,5,0.500000,0.893939,2,43560
decoder,3,all,content-pool,stem_final_match,linear,0.549444,0.099992,0.852413,0.057428,0.499803,0.000506,0.049642,0.890628,0.004232,-0.038215,sample,5,0.500000,0.895661,2,43560
decoder,3,all,content-pool,conjugation,linear,0.511409,0.203984,0.737126,0.038650,0.314224,0.063106,0.197185,0.603216,0.040700,0.133910,group,5,0.333333,0.787879,3,43560
decoder,3,all,content-pool,l_shaped,linear,0.785840,0.184593,0.903149,0.042709,0.493293,0.060819,0.292548,0.792735,0.027456,0.110413,group,5,0.500000,0.893939,2,43560
