layer_type,layer_index,subset,probe_site,property,probe_type,balanced_accuracy,balanced_std,accuracy,std,control_balanced_accuracy,control_balanced_std,selectivity,control_accuracy,control_std,selectivity_raw,control_mode,n_controls,chance,majority_baseline,n_classes,n_samples
encoder,0,all,content-pool,stem_final_match,linear,0.615127,0.173341,0.811000,0.095005,0.499955,0.000077,0.115172,0.874039,0.004658,-0.063038,sample,5,0.500000,0.876377,2,43560
encoder,0,all,content-pool,conjugation,linear,0.418977,0.247427,0.711314,0.068761,0.342058,0.081540,0.076919,0.651200,0.063708,0.060114,group,5,0.333333,0.819444,3,43560
encoder,0,all,content-pool,l_shaped,linear,0.678328,0.226497,0.870251,0.067506,0.493954,0.069973,0.184374,0.781810,0.052778,0.088442,group,5,0.500000,0.893939,2,43560
encoder,1,all,content-pool,stem_final_match,linear,0.637455,0.142674,0.840797,0.038040,0.500118,0.000235,0.137337,0.874219,0.004317,-0.033422,sample,5,0.500000,0.876377,2,43560
encoder,1,all,content-pool,conjugation,linear,0.406108,0.254120,0.698455,0.090144,0.372569,0.066752,0.033539,0.709148,0.047174,-0.010693,group,5,0.333333,0.819444,3,43560
encoder,1,all,content-pool,l_shaped,linear,0.675259,0.229880,0.865982,0.067150,0.540235,0.075220,0.135024,0.797506,0.047667,0.068476,group,5,0.500000,0.893939,2,43560
encoder,2,all,content-pool,stem_final_match,linear,0.676720,0.105398,0.854477,0.017180,0.499992,0.000016,0.176728,0.876367,0.000027,-0.021890,sample,5,0.500000,0.876377,2,43560
encoder,2,all,content-pool,conjugation,linear,0.453013,0.269614,0.760465,0.111983,0.308800,0.054011,0.144214,0.673901,0.050933,0.086564,group,5,0.333333,0.819444,3,43560
encoder,2,all,content-pool,l_shaped,linear,0.704909,0.218189,0.871230,0.066309,0.459751,0.035169,0.245159,0.774118,0.031815,0.097113,group,5,0.500000,0.893939,2,43560
encoder,3,all,content-pool,stem_final_match,linear,0.676866,0.065144,0.863648,0.012280,0.500000,0.000000,0.176866,0.876382,0.000004,-0.012734,sample,5,0.500000,0.876377,2,43560
encoder,3,all,content-pool,conjugation,linear,0.481673,0.261923,0.770230,0.106178,0.342645,0.014487,0.139028,0.723223,0.021710,0.047006,group,5,0.333333,0.819444,3,43560
encoder,3,all,content-pool,l_shaped,linear,0.707303,0.216804,0.865834,0.066649,0.481515,0.048943,0.225787,0.799667,0.039851,0.066167,group,5,0.500000,0.893939,2,43560
decoder,0,all,content-pool,stem_final_match,linear,0.622416,0.041117,0.840061,0.069639,0.499963,0.000076,0.122454,0.875862,0.000879,-0.035801,sample,5,0.500000,0.876377,2,43560
decoder,0,all,content-pool,conjugation,linear,0.487242,0.236314,0.748575,0.062579,0.324073,0.061341,0.163169,0.716184,0.023406,0.032391,group,5,0.333333,0.819444,3,43560
decoder,0,all,content-pool,l_shaped,linear,0.750107,0.221423,0.885619,0.059933,0.511590,0.044480,0.238517,0.822484,0.013004,0.063135,group,5,0.500000,0.893939,2,43560
decoder,1,all,content-pool,stem_final_match,linear,0.661457,0.069874,0.847839,0.025609,0.499879,0.000155,0.161578,0.874970,0.000947,-0.027131,sample,5,0.500000,0.876377,2,43560
decoder,1,all,content-pool,conjugation,linear,0.518598,0.244585,0.788435,0.080917,0.300474,0.050724,0.218125,0.681263,0.045100,0.107171,group,5,0.333333,0.819444,3,43560
decoder,1,all,content-pool,l_shaped,linear,0.739866,0.198083,0.865819,0.084728,0.520097,0.101813,0.219769,0.810827,0.045169,0.054992,group,5,0.500000,0.893939,2,43560
decoder,2,all,content-pool,stem_final_match,linear,0.623911,0.082819,0.846721,0.048356,0.499927,0.000153,0.123985,0.875133,0.001955,-0.028412,sample,5,0.500000,0.876377,2,43560
decoder,2,all,content-pool,conjugation,linear,0.474631,0.213762,0.744397,0.054947,0.363653,0.038085,0.110979,0.725312,0.028118,0.019085,group,5,0.333333,0.819444,3,43560
decoder,2,all,content-pool,l_shaped,linear,0.679952,0.210684,0.840951,0.095887,0.519025,0.058843,0.160927,0.806817,0.043119,0.034134,group,5,0.500000,0.893939,2,43560
decoder,3,all,content-pool,stem_final_match,linear,0.614709,0.102748,0.817147,0.049592,0.500102,0.000142,0.114607,0.875141,0.002459,-0.057994,sample,5,0.500000,0.876377,2,43560
decoder,3,all,content-pool,conjugation,linear,0.418631,0.258782,0.699892,0.101787,0.302354,0.052903,0.116278,0.664706,0.011557,0.035186,group,5,0.333333,0.819444,3,43560
decoder,3,all,content-pool,l_shaped,linear,0.661056,0.213464,0.831965,0.133305,0.498917,0.091183,0.162139,0.787323,0.044926,0.044641,group,5,0.500000,0.893939,2,43560
