layer_type,layer_index,subset,probe_site,property,probe_type,balanced_accuracy,balanced_std,accuracy,std,control_balanced_accuracy,control_balanced_std,selectivity,control_accuracy,control_std,selectivity_raw,control_mode,n_controls,chance,majority_baseline,n_classes,n_samples
encoder,0,all,content-pool,stem_final_match,linear,0.553572,0.109325,0.799517,0.070880,0.500000,0.000000,0.053572,0.885672,0.000005,-0.086155,sample,5,0.500000,0.885675,2,43560
encoder,0,all,content-pool,conjugation,linear,0.345226,0.156515,0.643223,0.130972,0.391006,0.016433,-0.045780,0.698161,0.051107,-0.054937,group,5,0.333333,0.818182,3,43560
encoder,0,all,content-pool,l_shaped,linear,0.647134,0.231569,0.830007,0.080847,0.481309,0.083951,0.165825,0.767107,0.040023,0.062899,group,5,0.500000,0.893939,2,43560
encoder,1,all,content-pool,stem_final_match,linear,0.520178,0.057014,0.745848,0.100951,0.499969,0.000051,0.020209,0.885499,0.000342,-0.139651,sample,5,0.500000,0.885675,2,43560
encoder,1,all,content-pool,conjugation,linear,0.340872,0.110396,0.685448,0.087700,0.327896,0.028566,0.012976,0.672923,0.012327,0.012525,group,5,0.333333,0.818182,3,43560
encoder,1,all,content-pool,l_shaped,linear,0.622626,0.242725,0.787085,0.075473,0.553320,0.065244,0.069306,0.811491,0.036663,-0.024407,group,5,0.500000,0.893939,2,43560
encoder,2,all,content-pool,stem_final_match,linear,0.547584,0.134165,0.750729,0.126141,0.500041,0.000070,0.047543,0.885435,0.000306,-0.134707,sample,5,0.500000,0.885675,2,43560
encoder,2,all,content-pool,conjugation,linear,0.330505,0.064116,0.707636,0.072351,0.356358,0.041331,-0.025853,0.672499,0.034785,0.035137,group,5,0.333333,0.818182,3,43560
encoder,2,all,content-pool,l_shaped,linear,0.593624,0.200969,0.780191,0.084368,0.477420,0.061596,0.116204,0.793675,0.033156,-0.013484,group,5,0.500000,0.893939,2,43560
encoder,3,all,content-pool,stem_final_match,linear,0.555918,0.077220,0.771631,0.091251,0.499918,0.000157,0.055999,0.884466,0.001585,-0.112835,sample,5,0.500000,0.885675,2,43560
encoder,3,all,content-pool,conjugation,linear,0.367822,0.125010,0.721880,0.074736,0.411157,0.050728,-0.043335,0.690426,0.029300,0.031454,group,5,0.333333,0.818182,3,43560
encoder,3,all,content-pool,l_shaped,linear,0.635859,0.221041,0.815320,0.065668,0.491466,0.047583,0.144393,0.796746,0.034653,0.018573,group,5,0.500000,0.893939,2,43560
decoder,0,all,content-pool,stem_final_match,linear,0.489910,0.052254,0.776331,0.093965,0.500072,0.000167,-0.010162,0.881012,0.008629,-0.104681,sample,5,0.500000,0.885675,2,43560
decoder,0,all,content-pool,conjugation,linear,0.344380,0.129449,0.663207,0.099864,0.338693,0.064636,0.005687,0.692675,0.056904,-0.029468,group,5,0.333333,0.818182,3,43560
decoder,0,all,content-pool,l_shaped,linear,0.479760,0.038870,0.798045,0.082494,0.563721,0.085531,-0.083961,0.858774,0.027130,-0.060729,group,5,0.500000,0.893939,2,43560
decoder,1,all,content-pool,stem_final_match,linear,0.525348,0.051674,0.805408,0.048975,0.500005,0.000082,0.025344,0.885556,0.000157,-0.080148,sample,5,0.500000,0.885675,2,43560
decoder,1,all,content-pool,conjugation,linear,0.372669,0.118601,0.698846,0.084765,0.322174,0.043201,0.050495,0.682224,0.045165,0.016622,group,5,0.333333,0.818182,3,43560
decoder,1,all,content-pool,l_shaped,linear,0.560879,0.137847,0.857284,0.034925,0.499995,0.046985,0.060884,0.806853,0.031662,0.050432,group,5,0.500000,0.893939,2,43560
decoder,2,all,content-pool,stem_final_match,linear,0.553180,0.056094,0.767100,0.070810,0.499926,0.000082,0.053254,0.885151,0.000533,-0.118052,sample,5,0.500000,0.885675,2,43560
decoder,2,all,content-pool,conjugation,linear,0.359396,0.089094,0.712494,0.059618,0.310612,0.049751,0.048783,0.667029,0.045041,0.045465,group,5,0.333333,0.818182,3,43560
decoder,2,all,content-pool,l_shaped,linear,0.555818,0.129926,0.819267,0.045004,0.486670,0.063147,0.069148,0.801365,0.025171,0.017902,group,5,0.500000,0.893939,2,43560
decoder,3,all,content-pool,stem_final_match,linear,0.503995,0.066776,0.744957,0.074072,0.500169,0.000244,0.003826,0.880839,0.005306,-0.135883,sample,5,0.500000,0.885675,2,43560
decoder,3,all,content-pool,conjugation,linear,0.289975,0.027713,0.695786,0.045229,0.278729,0.044971,0.011246,0.639583,0.051958,0.056203,group,5,0.333333,0.818182,3,43560
decoder,3,all,content-pool,l_shaped,linear,0.507379,0.160859,0.746149,0.050032,0.472140,0.035558,0.035239,0.779340,0.016262,-0.033191,group,5,0.500000,0.893939,2,43560
