layer_type,layer_index,subset,probe_site,property,probe_type,balanced_accuracy,balanced_std,accuracy,std,control_balanced_accuracy,control_balanced_std,selectivity,control_accuracy,control_std,selectivity_raw,control_mode,n_controls,chance,majority_baseline,n_classes,n_samples
encoder,0,all,content-pool,stem_final_match,linear,0.477890,0.025448,0.736237,0.115494,0.500000,0.000000,-0.022110,0.885672,0.000005,-0.149434,sample,5,0.500000,0.885675,2,43560
encoder,0,all,content-pool,conjugation,linear,0.276265,0.104896,0.601014,0.109871,0.401875,0.044572,-0.125609,0.674623,0.044767,-0.073609,group,5,0.333333,0.818182,3,43560
encoder,0,all,content-pool,l_shaped,linear,0.619306,0.201027,0.778536,0.056135,0.475298,0.061062,0.144008,0.768553,0.031095,0.009983,group,5,0.500000,0.893939,2,43560
encoder,1,all,content-pool,stem_final_match,linear,0.496144,0.036493,0.776883,0.083286,0.499980,0.000033,-0.003836,0.885303,0.000742,-0.108420,sample,5,0.500000,0.885675,2,43560
encoder,1,all,content-pool,conjugation,linear,0.314264,0.148195,0.646848,0.134665,0.339536,0.049215,-0.025272,0.666401,0.042295,-0.019552,group,5,0.333333,0.818182,3,43560
encoder,1,all,content-pool,l_shaped,linear,0.643497,0.207317,0.816722,0.066257,0.602755,0.099156,0.040743,0.834339,0.045041,-0.017617,group,5,0.500000,0.893939,2,43560
encoder,2,all,content-pool,stem_final_match,linear,0.481084,0.029641,0.727522,0.176463,0.499730,0.000345,-0.018646,0.881744,0.004896,-0.154223,sample,5,0.500000,0.885675,2,43560
encoder,2,all,content-pool,conjugation,linear,0.312273,0.128632,0.661041,0.135373,0.353602,0.034760,-0.041329,0.691953,0.029007,-0.030913,group,5,0.333333,0.818182,3,43560
encoder,2,all,content-pool,l_shaped,linear,0.607841,0.180728,0.801840,0.082572,0.449291,0.054442,0.158550,0.769161,0.045653,0.032679,group,5,0.500000,0.893939,2,43560
encoder,3,all,content-pool,stem_final_match,linear,0.494596,0.035395,0.735992,0.181501,0.500533,0.000883,-0.005936,0.882454,0.005856,-0.146462,sample,5,0.500000,0.885675,2,43560
encoder,3,all,content-pool,conjugation,linear,0.315040,0.135454,0.656379,0.118572,0.372046,0.062899,-0.057005,0.688185,0.018917,-0.031806,group,5,0.333333,0.818182,3,43560
encoder,3,all,content-pool,l_shaped,linear,0.614621,0.165559,0.814054,0.082157,0.485593,0.033792,0.129028,0.804862,0.013819,0.009192,group,5,0.500000,0.893939,2,43560
decoder,0,all,content-pool,stem_final_match,linear,0.453027,0.038882,0.723178,0.082309,0.500052,0.000236,-0.047025,0.883624,0.002132,-0.160445,sample,5,0.500000,0.885675,2,43560
decoder,0,all,content-pool,conjugation,linear,0.393070,0.117599,0.658082,0.084182,0.302387,0.042156,0.090683,0.661484,0.055803,-0.003402,group,5,0.333333,0.818182,3,43560
decoder,0,all,content-pool,l_shaped,linear,0.642588,0.230973,0.816111,0.110034,0.516215,0.084609,0.126374,0.822888,0.035849,-0.006778,group,5,0.500000,0.893939,2,43560
decoder,1,all,content-pool,stem_final_match,linear,0.504211,0.057579,0.773442,0.029873,0.499958,0.000058,0.004253,0.885340,0.000618,-0.111899,sample,5,0.500000,0.885675,2,43560
decoder,1,all,content-pool,conjugation,linear,0.415004,0.099816,0.720824,0.042750,0.325809,0.039752,0.089195,0.697243,0.029145,0.023581,group,5,0.333333,0.818182,3,43560
decoder,1,all,content-pool,l_shaped,linear,0.587336,0.147385,0.827769,0.067270,0.506111,0.041701,0.081225,0.809189,0.023580,0.018580,group,5,0.500000,0.893939,2,43560
decoder,2,all,content-pool,stem_final_match,linear,0.498608,0.072829,0.787666,0.030528,0.499901,0.000167,-0.001293,0.884894,0.001058,-0.097228,sample,5,0.500000,0.885675,2,43560
decoder,2,all,content-pool,conjugation,linear,0.401916,0.101587,0.721359,0.031488,0.314712,0.054919,0.087204,0.667246,0.056117,0.054113,group,5,0.333333,0.818182,3,43560
decoder,2,all,content-pool,l_shaped,linear,0.566692,0.129980,0.800143,0.074291,0.454029,0.056881,0.112663,0.779974,0.047362,0.020169,group,5,0.500000,0.893939,2,43560
decoder,3,all,content-pool,stem_final_match,linear,0.508706,0.065355,0.796465,0.042713,0.499973,0.000055,0.008733,0.885601,0.000159,-0.089136,sample,5,0.500000,0.885675,2,43560
decoder,3,all,content-pool,conjugation,linear,0.374558,0.064148,0.718202,0.041074,0.283015,0.021228,0.091543,0.659840,0.022587,0.058361,group,5,0.333333,0.818182,3,43560
decoder,3,all,content-pool,l_shaped,linear,0.542298,0.116896,0.807083,0.073003,0.464298,0.043618,0.078000,0.796448,0.024763,0.010635,group,5,0.500000,0.893939,2,43560
