layer_type,layer_index,direction,balanced_accuracy,control_balanced_accuracy,selectivity,n_controls
encoder,0,differ->same,0.4218129021237829,0.5503078600023777,-0.12849495787859483,5
encoder,0,same->differ,0.5226554069903824,0.5562275107277604,-0.03357210373737807,5
encoder,1,differ->same,0.49740468704199275,0.5316959602889659,-0.034291273246973175,5
encoder,1,same->differ,0.5349722417702714,0.5335597683718436,0.0014124733984277604,5
encoder,2,differ->same,0.44550180197848593,0.4732900776737755,-0.027788275695289577,5
encoder,2,same->differ,0.5861881304245836,0.6289026187248272,-0.0427144883002436,5
encoder,3,differ->same,0.5078139860523281,0.49775022688092607,0.01006375917140201,5
encoder,3,same->differ,0.576476659629369,0.666464629617493,-0.08998796998812397,5
decoder,0,differ->same,0.39665015468124276,0.4751476052895973,-0.07849745060835456,5
decoder,0,same->differ,0.4229478458049886,0.647307050656236,-0.22435920485124733,5
decoder,1,differ->same,0.5182357270440172,0.4990219513987246,0.01921377564529264,5
decoder,1,same->differ,0.4992821956368754,0.6590747010583694,-0.15979250542149398,5
decoder,2,differ->same,0.5655454121775365,0.4929085924757512,0.07263681970178532,5
decoder,2,same->differ,0.5468840409727109,0.6195277735153761,-0.07264373254266521,5
decoder,3,differ->same,0.5323215261039096,0.45405447986871533,0.07826704623519426,5
decoder,3,same->differ,0.5472859488623035,0.6703200099340999,-0.12303406107179637,5
