layer_type,layer_index,direction,balanced_accuracy,control_balanced_accuracy,selectivity,n_controls
encoder,0,differ->same,0.7109336823023257,0.40008114142540946,0.3108525408769162,5
encoder,0,same->differ,0.7933333333333333,0.6262159983764245,0.16711733495690884,5
encoder,1,differ->same,0.720775341698805,0.5120298533821463,0.20874548831665862,5
encoder,1,same->differ,0.8128571428571428,0.5289411444988551,0.28391599835828774,5
encoder,2,differ->same,0.7252192606966879,0.4236807007968631,0.30153855989982475,5
encoder,2,same->differ,0.8055555555555556,0.735718613210993,0.06983694234456261,5
encoder,3,differ->same,0.7106817397354467,0.5141842602132329,0.19649747952221375,5
encoder,3,same->differ,0.7542857142857142,0.5701452718873052,0.184140442398409,5
decoder,0,differ->same,0.6993356271793576,0.5271606543472598,0.17217497283209782,5
decoder,0,same->differ,0.6296415770609319,0.4487865826334792,0.18085499442745273,5
decoder,1,differ->same,0.7222504423263512,0.4990558191075172,0.223194623218834,5
decoder,1,same->differ,0.7372964669738863,0.4811749084085819,0.2561215585653044,5
decoder,2,differ->same,0.7097080781973197,0.48011232883317817,0.22959574936414157,5
decoder,2,same->differ,0.8280952380952381,0.46699327321299605,0.36110196488224205,5
decoder,3,differ->same,0.7459592706439347,0.484978160433172,0.26098111021076276,5
decoder,3,same->differ,0.7661904761904762,0.5806257194872408,0.18556475670323536,5
