layer_type,layer_index,direction,balanced_accuracy,control_balanced_accuracy,selectivity,n_controls
encoder,0,differ->same,0.6852943814361542,0.44655976943135495,0.23873461200479923,5
encoder,0,same->differ,0.7036507936507936,0.7031999165976707,0.00045087705312296666,5
encoder,1,differ->same,0.7536474597829543,0.45660493035479627,0.29704252942815806,5
encoder,1,same->differ,0.8073015873015873,0.43887122448303045,0.36843036281855684,5
encoder,2,differ->same,0.7381644067934805,0.47281428147151805,0.26535012532196245,5
encoder,2,same->differ,0.8474603174603175,0.7323522235492032,0.11510809391111432,5
encoder,3,differ->same,0.7231365898336961,0.5124635279510376,0.21067306188265855,5
encoder,3,same->differ,0.8385714285714285,0.5581505640593468,0.2804208645120817,5
decoder,0,differ->same,0.7073608268716995,0.5140799485073297,0.1932808783643698,5
decoder,0,same->differ,0.6855145929339478,0.4647395685525151,0.2207750243814327,5
decoder,1,differ->same,0.6713391549188592,0.5066673380707343,0.16467181684812493,5
decoder,1,same->differ,0.7007936507936507,0.470262733634495,0.23053091715915575,5
decoder,2,differ->same,0.6743370540385552,0.4523317944369012,0.22200525960165396,5
decoder,2,same->differ,0.7334920634920635,0.5353815388827822,0.19811052460928136,5
decoder,3,differ->same,0.6687131904299874,0.4817926495748903,0.18692054085509713,5
decoder,3,same->differ,0.6698412698412699,0.5413783632235944,0.12846290661767545,5
