layer_type,layer_index,direction,balanced_accuracy,control_balanced_accuracy,selectivity,n_controls
encoder,0,differ->same,0.4602345840687809,0.541794653106018,-0.08156006903723712,5
encoder,0,same->differ,0.6340261161936038,0.5496635886526733,0.08436252754093054,5
encoder,1,differ->same,0.5830987281764484,0.5183042080050289,0.06479452017141951,5
encoder,1,same->differ,0.7556462585034014,0.5139128220033711,0.24173343650003032,5
encoder,2,differ->same,0.8076857703800708,0.4813404414381909,0.32634532894187995,5
encoder,2,same->differ,0.7574149659863946,0.6106259197970575,0.14678904618933708,5
encoder,3,differ->same,0.9304320319864361,0.49160207297791114,0.43882995900852495,5
encoder,3,same->differ,0.7602721088435374,0.6334290185546327,0.12684309028890461,5
decoder,0,differ->same,0.8431747297032272,0.48602711805687787,0.3571476116463493,5
decoder,0,same->differ,0.7559183673469387,0.6772125258672015,0.07870584147973725,5
decoder,1,differ->same,0.8726215254712664,0.4980507837479482,0.37457074172331817,5
decoder,1,same->differ,0.7292517006802721,0.6772648208375467,0.05198687984272543,5
decoder,2,differ->same,0.7790076360024547,0.4889416262573542,0.2900660097451005,5
decoder,2,same->differ,0.7457142857142858,0.5102523917112707,0.2354618940030151,5
decoder,3,differ->same,0.6171092005288896,0.4395573617992451,0.17755183872964453,5
decoder,3,same->differ,0.7220408163265306,0.7360252988646256,-0.013984482538095033,5
